policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
twap,dynamic_duopoly,before,final,90044,146.3115,1.000000
lookahead,dynamic_duopoly,before,final,90045,111.2356,1.000000
twap,dynamic_duopoly,before,final,90045,118.2498,1.000000
lookahead,dynamic_duopoly,before,final,90046,119.1509,1.000000
twap,dynamic_duopoly,before,final,90046,106.3069,1.000000
lookahead,dynamic_duopoly,before,final,90047,57.1967,1.000000
twap,dynamic_duopoly,before,final,90047,90.1013,1.000000
lookahead,dynamic_duopoly,before,final,90048,86.8854,1.000000
twap,dynamic_duopoly,before,final,90048,111.0169,1.000000
lookahead,dynamic_duopoly,before,final,90049,104.2848,1.000000
twap,dynamic_duopoly,before,final,90049,99.8069,1.000000
lookahead,dynamic_duopoly,before,final,90050,91.2871,1.000000
twap,dynamic_duopoly,before,final,90050,110.8305,1.000000
lookahead,dynamic_duopoly,before,final,90051,130.4881,1.000000
twap,dynamic_duopoly,before,final,90051,126.3042,1.000000
lookahead,dynamic_duopoly,before,final,90052,128.9581,1.000000
twap,dynamic_duopoly,before,final,90052,133.6197,1.000000
lookahead,dynamic_duopoly,before,final,90053,103.5335,1.000000
twap,dynamic_duopoly,before,final,90053,123.6450,1.000000
lookahead,dynamic_duopoly,before,final,90054,81.2437,1.000000
twap,dynamic_duopoly,before,final,90054,109.0485,1.000000
lookahead,dynamic_duopoly,before,final,90055,82.1394,1.000000
twap,dynamic_duopoly,before,final,90055,98.9197,1.000000
lookahead,dynamic_duopoly,before,final,90056,112.1367,1.000000
twap,dynamic_duopoly,before,final,90056,115.3552,1.000000
lookahead,dynamic_duopoly,before,final,90057,76.5739,1.000000
twap,dynamic_duopoly,before,final,90057,101.3596,1.000000
lookahead,dynamic_duopoly,before,final,90058,137.1821,1.000000
twap,dynamic_duopoly,before,final,90058,130.6581,1.000000
lookahead,dynamic_duopoly,before,final,90059,111.4277,1.000000
twap,dynamic_duopoly,before,final,90059,128.6259,1.000000
lookahead,dynamic_duopoly,before,final,90060,65.8599,1.000000
twap,dynamic_duopoly,before,final,90060,108.3712,1.000000
lookahead,dynamic_duopoly,before,final,90061,76.0441,1.000000
twap,dynamic_duopoly,before,final,90061,100.0637,1.000000
lookahead,dynamic_duopoly,before,final,90062,121.0057,1.000000
twap,dynamic_duopoly,before,final,90062,124.5707,1.000000
lookahead,dynamic_duopoly,before,final,90063,88.4318,1.000000
twap,dynamic_duopoly,before,final,90063,105.2213,1.000000
lookahead,dynamic_duopoly,before,final,90064,130.4504,1.000000
twap,dynamic_duopoly,before,final,90064,119.5284,1.000000
lookahead,dynamic_duopoly,before,final,90065,91.4382,1.000000
twap,dynamic_duopoly,before,final,90065,108.3850,1.000000
lookahead,dynamic_duopoly,before,final,90066,87.8748,1.000000
twap,dynamic_duopoly,before,final,90066,108.5859,1.000000
lookahead,dynamic_duopoly,before,final,90067,95.6107,1.000000
twap,dynamic_duopoly,before,final,90067,115.2550,1.000000
lookahead,dynamic_duopoly,before,final,90068,52.8276,1.000000
twap,dynamic_duopoly,before,final,90068,107.8866,1.000000
lookahead,dynamic_duopoly,before,final,90069,91.6615,1.000000
twap,dynamic_duopoly,before,final,90069,112.6335,1.000000
lookahead,dynamic_duopoly,before,final,90070,96.9845,1.000000
twap,dynamic_duopoly,before,final,90070,97.5697,1.000000
lookahead,dynamic_duopoly,before,final,90071,68.6537,1.000000
twap,dynamic_duopoly,before,final,90071,108.0025,1.000000
lookahead,dynamic_duopoly,before,final,90072,70.2737,1.000000
twap,dynamic_duopoly,before,final,90072,100.9301,1.000000
