step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,1000.0409346498274,1000.0409346498274,0.002997387258212296,0.003002612741787704,0.002997387258212296,0.003002612741787704,wait,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.7979545458107145,0.7979545458107145,0.7774878492427044,0.7774878492427044,0.0,0.0,-0.0
1,1000.0461343757798,999.4775681491252,999.4775681491252,0.002677635140057347,0.003322364859942653,0.002677635140057347,0.003322364859942653,wait,0.0,0.0,0.0,0.0,0.0,50.0,-0.0519948607743508,-0.0519948607743508,0.6722571910536138,0.6722571910536138,0.9540422082783877,0.9540422082783877,0.0,0.0,-0.0
2,1000.1191656816783,1000.5950024426493,1000.5950024426493,0.0031700133288389354,0.0028299866711610647,0.0031700133288389354,0.0028299866711610647,wait,0.0,0.0,0.0,0.0,0.0,50.0,-6.4152108525564255,-6.4152108525564255,1.392140350304795,1.392140350304795,0.8334535029953944,0.8334535029953944,0.0,0.0,-0.0
3,1000.2565803649939,1001.1658658490085,1001.1658658490085,0.003062400067438324,0.0029375999325616763,0.003062400067438324,0.0029375999325616763,wait,0.0,0.0,0.0,0.0,0.0,50.0,3.383352674690055,3.383352674690055,1.3286837592821295,1.3286837592821295,1.0436285829097296,1.0436285829097296,0.0,0.0,-0.0
4,1001.0415572321441,1001.1907640432651,1001.1907640432651,0.002700552443218203,0.003299447556781797,0.002700552443218203,0.003299447556781797,wait,0.0,0.0,0.0,0.0,0.0,50.0,1.2417927704028482,1.2417927704028482,0.6441828399005737,0.6441828399005737,0.63175571384274,0.63175571384274,0.0,0.0,-0.0
5,1001.7877440383841,1000.503797494783,1000.503797494783,0.0026049026823820676,0.0033950973176179325,0.0026049026823820676,0.0033950973176179325,wait,0.0,0.0,0.0,0.0,0.0,50.0,-5.959146522520505,-5.959146522520505,0.7979687214533249,0.7979687214533249,1.141015942671536,1.141015942671536,0.0,0.0,-0.0
6,1001.2910743974452,1007.8994935385626,1005.6766439446297,0.006472323204214037,0.0001,0.005345442576500645,0.0006545574234993559,exec_10_A,5.0,0.0,5040.794416069049,13.130778895754702,2.0,45.0,92.8387420644106,-7.862617802080265,0.016462001755979814,2.5834380347910453,1.3417666018475436,0.00894689595173703,0.0,0.0,-0.0008558883213809713
7,1000.9934101479926,1003.1449543789512,1006.6995250375659,0.004088959832803744,0.0019110401671962559,0.005891072472251259,0.00010892752774874139,wait,0.0,0.0,0.0,0.0,0.0,45.0,68.99229625846428,46.78586041785017,0.2113909712021291,1.1486581892848708,2.56911212234097,0.6419283597039384,0.0,0.0,-0.0
8,1000.9581672170476,1005.894259074695,1002.9056803528565,0.005865006592736779,0.00013499340726322176,0.004348709380380287,0.0016512906196197129,wait,0.0,0.0,0.0,0.0,0.0,45.0,21.84693859867756,57.35861905678726,1.5021268560254775,0.10076808258964035,0.1367398686139736,1.984110952318372,0.0,0.0,-0.0
9,1000.206303356483,1003.6453145914696,1005.1265821438624,0.004825010909881384,0.0011749890901186163,0.005576701140351536,0.00042329885964846386,wait,0.0,0.0,0.0,0.0,0.0,45.0,56.867825158914215,26.988202207034554,0.12707368291834673,1.2347375056177181,1.2435492612498933,0.13094191491684506,0.0,0.0,-0.0
