mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,30,238.8312,0.9997,49.9852,223.4597,436.0660,100.0000,0.5651,130.0876,8,400.5234,50,-0.023883
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,31,123.6496,0.9997,49.9852,111.9054,244.0441,100.0000,0.5011,79.7838,9,177.2158,50,-0.012365
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,32,192.2425,0.9997,49.9852,180.6412,362.0428,100.0000,0.5033,103.9637,7,308.4218,50,-0.019224
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,33,168.5302,0.9997,49.9852,155.3707,318.5472,100.0000,0.5000,94.7829,8,307.1774,50,-0.016853
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,34,144.1943,0.9997,49.9852,133.7403,281.3995,100.0000,0.5353,86.8495,10,253.3356,50,-0.014419
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,35,156.6400,0.9997,49.9852,129.3322,274.0422,100.0000,0.5186,77.9479,13,147.9609,50,-0.015664
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,36,141.4095,0.9997,49.9852,114.0956,248.1258,100.0000,0.5467,57.0508,10,157.5577,50,-0.014141
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,37,162.3974,0.9997,49.9852,137.1776,287.4545,100.0000,0.5005,88.8847,8,257.4970,50,-0.016240
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,38,208.0557,0.9997,49.9852,190.3567,378.6675,100.0000,0.5200,109.4749,6,354.8515,50,-0.020806
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,39,222.1317,0.9997,49.9852,204.0292,402.8074,100.0000,0.5039,113.4163,8,452.9089,50,-0.022213
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,40,151.4910,0.9997,49.9852,138.6475,289.9856,100.0000,0.5416,78.6727,7,225.5678,50,-0.015149
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,41,194.6557,0.9997,49.9852,167.9094,340.4553,100.0000,0.5220,98.0965,10,399.1285,50,-0.019466
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,42,133.4905,0.9997,49.9852,116.1250,251.5002,100.0000,0.5350,68.3906,11,130.3459,50,-0.013349
