episode,val_shortfall_bps,eps
500,200.0,0.9341597222222222
1000,198.5808944019347,0.8681875
1500,184.63429951510602,0.8022152777777778
2000,190.46269894703477,0.7362430555555556
2500,198.96744009004178,0.6702708333333334
3000,200.0,0.6042986111111112
3500,200.0,0.538326388888889
4000,194.79499157314683,0.47235416666666674
4500,200.0,0.4063819444444444
5000,196.13906988915312,0.3404097222222222
5500,194.34210483110928,0.2744375
6000,198.2817929658434,0.2084652777777778
6500,198.9579217322154,0.1424930555555557
7000,195.5112117550568,0.07652083333333348
7500,141.97582411920854,0.05
8000,134.83079632576238,0.05
8500,109.51254298507858,0.05
9000,100.22012388021896,0.05
9500,109.97737155781489,0.05
10000,96.52540621081414,0.05
10500,111.1500893710172,0.05
11000,94.29691226555099,0.05
11500,99.39496587541915,0.05
12000,93.8419696593237,0.05
