policy,seed_set,seed,shortfall_bps,completion_rate
lookahead,final,90045,111.2356,1.0000
twap,final,90045,118.2498,1.0000
stochastic_planner,final,90046,108.6495,1.0000
lookahead,final,90046,119.1509,1.0000
twap,final,90046,106.3069,1.0000
stochastic_planner,final,90047,54.6633,1.0000
lookahead,final,90047,57.1967,1.0000
twap,final,90047,90.1013,1.0000
stochastic_planner,final,90048,88.1187,1.0000
lookahead,final,90048,86.8854,1.0000
twap,final,90048,111.0169,1.0000
stochastic_planner,final,90049,88.8144,1.0000
lookahead,final,90049,104.2848,1.0000
twap,final,90049,99.8069,1.0000
stochastic_planner,final,90050,88.4121,1.0000
lookahead,final,90050,91.2871,1.0000
twap,final,90050,110.8305,1.0000
stochastic_planner,final,90051,127.8719,1.0000
lookahead,final,90051,130.4881,1.0000
twap,final,90051,126.3042,1.0000
stochastic_planner,final,90052,122.9980,1.0000
lookahead,final,90052,128.9581,1.0000
twap,final,90052,133.6197,1.0000
stochastic_planner,final,90053,101.2236,1.0000
lookahead,final,90053,103.5335,1.0000
twap,final,90053,123.6450,1.0000
stochastic_planner,final,90054,91.1010,1.0000
lookahead,final,90054,81.2437,1.0000
twap,final,90054,109.0485,1.0000
stochastic_planner,final,90055,86.5605,1.0000
lookahead,final,90055,82.1394,1.0000
twap,final,90055,98.9197,1.0000
stochastic_planner,final,90056,108.8776,1.0000
lookahead,final,90056,112.1367,1.0000
twap,final,90056,115.3552,1.0000
stochastic_planner,final,90057,82.3720,1.0000
lookahead,final,90057,76.5739,1.0000
twap,final,90057,101.3596,1.0000
stochastic_planner,final,90058,137.1937,1.0000
lookahead,final,90058,137.1821,1.0000
twap,final,90058,130.6581,1.0000
stochastic_planner,final,90059,109.5607,1.0000
lookahead,final,90059,111.4277,1.0000
twap,final,90059,128.6259,1.0000
stochastic_planner,final,90060,72.7601,1.0000
lookahead,final,90060,65.8599,1.0000
twap,final,90060,108.3712,1.0000
stochastic_planner,final,90061,77.5186,1.0000
lookahead,final,90061,76.0441,1.0000
twap,final,90061,100.0637,1.0000
stochastic_planner,final,90062,127.6284,1.0000
lookahead,final,90062,121.0057,1.0000
twap,final,90062,124.5707,1.0000
stochastic_planner,final,90063,87.7675,1.0000
lookahead,final,90063,88.4318,1.0000
twap,final,90063,105.2213,1.0000
stochastic_planner,final,90064,128.5755,1.0000
lookahead,final,90064,130.4504,1.0000
twap,final,90064,119.5284,1.0000
stochastic_planner,final,90065,98.4785,1.0000
lookahead,final,90065,91.4382,1.0000
twap,final,90065,108.3850,1.0000
stochastic_planner,final,90066,88.2383,1.0000
lookahead,final,90066,87.8748,1.0000
twap,final,90066,108.5859,1.0000
stochastic_planner,final,90067,106.0699,1.0000
