episode,val_shortfall_bps,eps
500,200.0,0.9341597222222222
1000,180.35285084527004,0.8681875
1500,180.77521194426404,0.8022152777777778
2000,189.70079831022667,0.7362430555555556
2500,200.0,0.6702708333333334
3000,200.0,0.6042986111111112
3500,200.0,0.538326388888889
4000,198.97651585033927,0.47235416666666674
4500,198.9925139154702,0.4063819444444444
5000,199.0588899678942,0.3404097222222222
5500,197.69630038705128,0.2744375
6000,183.47503523330684,0.2084652777777778
6500,189.1193848585972,0.1424930555555557
7000,174.50428354876237,0.07652083333333348
7500,130.42000907506193,0.05
8000,122.86835068610583,0.05
8500,113.17407410672577,0.05
9000,109.10356091185093,0.05
9500,97.75372661435962,0.05
10000,106.3990680431602,0.05
10500,96.91824868569256,0.05
11000,105.87325740603224,0.05
11500,112.13262764197259,0.05
12000,110.18617272232119,0.05
