episode,val_shortfall_bps,eps
500,197.66550304178244,0.9341597222222222
1000,191.89628399247303,0.8681875
1500,198.53370451086784,0.8022152777777778
2000,185.20775912649944,0.7362430555555556
2500,193.39078876551412,0.6702708333333334
3000,188.59389234668754,0.6042986111111112
3500,186.94810931646927,0.538326388888889
4000,197.70626076802557,0.47235416666666674
4500,197.17810485811987,0.4063819444444444
5000,191.0867573378621,0.3404097222222222
5500,199.0052654562645,0.2744375
6000,175.01938693220953,0.2084652777777778
6500,183.1070366386465,0.1424930555555557
7000,134.7087703823274,0.07652083333333348
7500,92.11474490232865,0.05
8000,88.98261032548093,0.05
8500,91.7276475510162,0.05
9000,95.9659110143928,0.05
9500,91.06895203658696,0.05
10000,95.60400739458302,0.05
10500,85.78120655015465,0.05
11000,87.1320308982111,0.05
11500,86.60978460335028,0.05
12000,94.7923406315545,0.05
