step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,1001.3317154006696,1001.3317154006696,0.0029611848847204843,0.003038815115279516,0.0029611848847204843,0.003038815115279516,wait,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.356709984502501,1.356709984502501,0.6915165966948326,0.6915165966948326,0.0,0.0,-0.0
1,1001.4090682383941,1002.0123827732082,1002.0123827732082,0.003513051536258047,0.002486948463741953,0.003513051536258047,0.002486948463741953,wait,0.0,0.0,0.0,0.0,0.0,50.0,-0.772439956635513,-0.772439956635513,0.9576134903231885,0.9576134903231885,0.6181315809391855,0.6181315809391855,0.0,0.0,-0.0
2,1000.9903709298986,1002.4675922606607,1002.4675922606607,0.003609930577267491,0.002390069422732509,0.003609930577267491,0.002390069422732509,wait,0.0,0.0,0.0,0.0,0.0,50.0,10.210006739226822,10.210006739226822,1.0414284727916603,1.0414284727916603,0.8145863337309525,0.8145863337309525,0.0,0.0,-0.0
3,1001.2522763964892,1002.7819250922912,1002.7819250922912,0.003572152403714015,0.0024278475962859853,0.003572152403714015,0.0024278475962859853,wait,0.0,0.0,0.0,0.0,0.0,50.0,12.137958562705796,12.137958562705796,0.9234010790557019,0.9234010790557019,0.7668514227007307,0.7668514227007307,0.0,0.0,-0.0
4,1001.6414411509865,1003.6527104344918,1003.6527104344918,0.00342576502442164,0.00257423497557836,0.00342576502442164,0.00257423497557836,wait,0.0,0.0,0.0,0.0,0.0,50.0,11.386149718348522,11.386149718348522,1.3685639070959201,1.3685639070959201,0.9352639611890304,0.9352639611890304,0.0,0.0,-0.0
5,1002.8030400656068,1002.3000918170957,1002.3000918170957,0.0028335145560951045,0.0031664854439048956,0.0028335145560951045,0.0031664854439048956,wait,0.0,0.0,0.0,0.0,0.0,50.0,8.472953660267098,8.472953660267098,0.8386618255380518,0.8386618255380518,1.5119630688864734,1.5119630688864734,0.0,0.0,-0.0
6,1002.632277970879,1002.43040998118,1002.43040998118,0.0032654776406863427,0.0027345223593136575,0.0032654776406863427,0.0027345223593136575,wait,0.0,0.0,0.0,0.0,0.0,50.0,-3.3131404312620436,-3.3131404312620436,1.321605470338775,1.321605470338775,1.2566768828847088,1.2566768828847088,0.0,0.0,-0.0
7,1001.901091200366,1001.7324522476655,1001.7324522476655,0.0032415280193242124,0.0027584719806757877,0.0032415280193242124,0.0027584719806757877,wait,0.0,0.0,0.0,0.0,0.0,50.0,5.283144069439696,5.283144069439696,0.832571941994495,0.832571941994495,1.180464099860466,1.180464099860466,0.0,0.0,-0.0
8,1001.2511975060614,1002.8319141058938,1002.8319141058938,0.003914290319684266,0.0020857096803157337,0.003914290319684266,0.0020857096803157337,wait,0.0,0.0,0.0,0.0,0.0,50.0,4.806533493320972,4.806533493320972,1.2005981369191983,1.2005981369191983,0.6527436305792058,0.6527436305792058,0.0,0.0,-0.0
9,1001.0105839061521,1003.4508026657139,1003.4508026657139,0.004667041866246936,0.0013329581337530635,0.004667041866246936,0.0013329581337530635,wait,0.0,0.0,0.0,0.0,0.0,50.0,18.194914509640117,18.194914509640117,1.3512766875735402,1.3512766875735402,1.0432847977618467,1.0432847977618467,0.0,0.0,-0.0
10,1000.1328383873151,1003.1759167982951,1003.1759167982951,0.00524351604691441,0.0007564839530855906,0.00524351604691441,0.0007564839530855906,wait,0.0,0.0,0.0,0.0,0.0,50.0,33.17523583916023,33.17523583916023,0.6704179563535939,0.6704179563535939,0.8071806131301147,0.8071806131301147,0.0,0.0,-0.0
11,998.7168875570285,1004.0340156908388,1004.0340156908388,0.006090097682716683,0.0001,0.006090097682716683,0.0001,wait,0.0,0.0,0.0,0.0,0.0,50.0,44.647580278470365,44.647580278470365,1.0382140783734417,1.0382140783734417,0.6114742356188451,0.6114742356188451,0.0,0.0,-0.0
12,997.8974037861203,998.9952007099773,998.9952007099773,0.003421273011631194,0.002578726988368806,0.003421273011631194,0.002578726988368806,wait,0.0,0.0,0.0,0.0,0.0,50.0,61.495419082518914,61.495419082518914,1.3688028001612387,1.3688028001612387,1.2991652455720506,1.2991652455720506,-2.5833419318890947,-2.5833419318890947,-0.0
13,998.1583886362831,999.4675637620497,999.4675637620497,0.003961112602614505,0.002038887397385495,0.003961112602614505,0.002038887397385495,wait,0.0,0.0,0.0,0.0,0.0,50.0,8.383559996299633,8.383559996299633,0.9241704880416683,0.9241704880416683,0.6877163919214343,0.6877163919214343,0.0,0.0,-0.0
