policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
twap,dynamic_duopoly,before,final,90044,146.3115,1.000000
lookahead,dynamic_duopoly,before,final,90045,114.0236,1.000000
twap,dynamic_duopoly,before,final,90045,118.2498,1.000000
lookahead,dynamic_duopoly,before,final,90046,124.0218,1.000000
twap,dynamic_duopoly,before,final,90046,106.3069,1.000000
lookahead,dynamic_duopoly,before,final,90047,28.2693,1.000000
twap,dynamic_duopoly,before,final,90047,90.1013,1.000000
lookahead,dynamic_duopoly,before,final,90048,100.4668,1.000000
twap,dynamic_duopoly,before,final,90048,111.0169,1.000000
lookahead,dynamic_duopoly,before,final,90049,121.8493,1.000000
twap,dynamic_duopoly,before,final,90049,99.8069,1.000000
lookahead,dynamic_duopoly,before,final,90050,106.4308,1.000000
twap,dynamic_duopoly,before,final,90050,110.8305,1.000000
lookahead,dynamic_duopoly,before,final,90051,128.0428,1.000000
twap,dynamic_duopoly,before,final,90051,126.3042,1.000000
lookahead,dynamic_duopoly,before,final,90052,108.7822,1.000000
twap,dynamic_duopoly,before,final,90052,133.6197,1.000000
lookahead,dynamic_duopoly,before,final,90053,93.3680,1.000000
twap,dynamic_duopoly,before,final,90053,123.6450,1.000000
lookahead,dynamic_duopoly,before,final,90054,94.8418,1.000000
twap,dynamic_duopoly,before,final,90054,109.0485,1.000000
lookahead,dynamic_duopoly,before,final,90055,81.6059,1.000000
twap,dynamic_duopoly,before,final,90055,98.9197,1.000000
lookahead,dynamic_duopoly,before,final,90056,147.9780,1.000000
twap,dynamic_duopoly,before,final,90056,115.3552,1.000000
lookahead,dynamic_duopoly,before,final,90057,98.2294,1.000000
twap,dynamic_duopoly,before,final,90057,101.3596,1.000000
lookahead,dynamic_duopoly,before,final,90058,114.2143,1.000000
twap,dynamic_duopoly,before,final,90058,130.6581,1.000000
lookahead,dynamic_duopoly,before,final,90059,110.8331,1.000000
twap,dynamic_duopoly,before,final,90059,128.6259,1.000000
lookahead,dynamic_duopoly,before,final,90060,75.9390,1.000000
twap,dynamic_duopoly,before,final,90060,108.3712,1.000000
lookahead,dynamic_duopoly,before,final,90061,63.1169,1.000000
twap,dynamic_duopoly,before,final,90061,100.0637,1.000000
lookahead,dynamic_duopoly,before,final,90062,113.7550,1.000000
twap,dynamic_duopoly,before,final,90062,124.5707,1.000000
lookahead,dynamic_duopoly,before,final,90063,114.9473,1.000000
twap,dynamic_duopoly,before,final,90063,105.2213,1.000000
lookahead,dynamic_duopoly,before,final,90064,118.9352,1.000000
twap,dynamic_duopoly,before,final,90064,119.5284,1.000000
lookahead,dynamic_duopoly,before,final,90065,69.9032,1.000000
twap,dynamic_duopoly,before,final,90065,108.3850,1.000000
lookahead,dynamic_duopoly,before,final,90066,85.9677,1.000000
twap,dynamic_duopoly,before,final,90066,108.5859,1.000000
lookahead,dynamic_duopoly,before,final,90067,97.5854,1.000000
twap,dynamic_duopoly,before,final,90067,115.2550,1.000000
lookahead,dynamic_duopoly,before,final,90068,54.1830,1.000000
twap,dynamic_duopoly,before,final,90068,107.8866,1.000000
lookahead,dynamic_duopoly,before,final,90069,121.5501,1.000000
twap,dynamic_duopoly,before,final,90069,112.6335,1.000000
lookahead,dynamic_duopoly,before,final,90070,115.4078,1.000000
twap,dynamic_duopoly,before,final,90070,97.5697,1.000000
lookahead,dynamic_duopoly,before,final,90071,63.9840,1.000000
twap,dynamic_duopoly,before,final,90071,108.0025,1.000000
lookahead,dynamic_duopoly,before,final,90072,61.9624,1.000000
twap,dynamic_duopoly,before,final,90072,100.9301,1.000000
lookahead,dynamic_duopoly,before,final,90073,55.6821,1.000000
twap,dynamic_duopoly,before,final,90073,65.7966,1.000000
lookahead,dynamic_duopoly,before,final,90074,129.7630,1.000000
twap,dynamic_duopoly,before,final,90074,120.5101,1.000000
lookahead,dynamic_duopoly,before,final,90075,85.8909,1.000000
twap,dynamic_duopoly,before,final,90075,118.6101,1.000000
lookahead,dynamic_duopoly,before,final,90076,87.7421,1.000000
twap,dynamic_duopoly,before,final,90076,98.0773,1.000000
lookahead,dynamic_duopoly,before,final,90077,134.3378,1.000000
twap,dynamic_duopoly,before,final,90077,115.6404,1.000000
lookahead,dynamic_duopoly,before,final,90078,107.1091,1.000000
twap,dynamic_duopoly,before,final,90078,99.7978,1.000000
lookahead,dynamic_duopoly,before,final,90079,115.8669,1.000000
twap,dynamic_duopoly,before,final,90079,110.8853,1.000000
lookahead,dynamic_duopoly,before,final,90080,98.1830,1.000000
twap,dynamic_duopoly,before,final,90080,112.3529,1.000000
lookahead,dynamic_duopoly,before,final,90081,109.5733,1.000000
twap,dynamic_duopoly,before,final,90081,118.6274,1.000000
lookahead,dynamic_duopoly,before,final,90082,80.7520,1.000000
twap,dynamic_duopoly,before,final,90082,125.5778,1.000000
lookahead,dynamic_duopoly,before,final,90083,88.6818,1.000000
twap,dynamic_duopoly,before,final,90083,109.2727,1.000000
lookahead,dynamic_duopoly,before,final,90084,150.2185,1.000000
twap,dynamic_duopoly,before,final,90084,132.2855,1.000000
lookahead,dynamic_duopoly,before,final,90085,34.8744,1.000000
twap,dynamic_duopoly,before,final,90085,108.8375,1.000000
lookahead,dynamic_duopoly,before,final,90086,119.3202,1.000000
twap,dynamic_duopoly,before,final,90086,133.2569,1.000000
lookahead,dynamic_duopoly,before,final,90087,63.3317,1.000000
twap,dynamic_duopoly,before,final,90087,101.8459,1.000000
lookahead,dynamic_duopoly,before,final,90088,127.5795,1.000000
twap,dynamic_duopoly,before,final,90088,118.1659,1.000000
lookahead,dynamic_duopoly,before,final,90089,70.3867,1.000000
twap,dynamic_duopoly,before,final,90089,103.7437,1.000000
lookahead,dynamic_duopoly,before,final,90090,104.2126,1.000000
twap,dynamic_duopoly,before,final,90090,111.5899,1.000000
lookahead,dynamic_duopoly,before,final,90091,138.9750,1.000000
twap,dynamic_duopoly,before,final,90091,120.0438,1.000000
lookahead,dynamic_duopoly,before,final,90092,106.2977,1.000000
twap,dynamic_duopoly,before,final,90092,110.5006,1.000000
lookahead,dynamic_duopoly,before,final,90093,94.2379,1.000000
twap,dynamic_duopoly,before,final,90093,95.5385,1.000000
lookahead,dynamic_duopoly,before,final,90094,117.1523,1.000000
twap,dynamic_duopoly,before,final,90094,113.6007,1.000000
lookahead,dynamic_duopoly,before,final,90095,87.6474,1.000000
twap,dynamic_duopoly,before,final,90095,97.1636,1.000000
lookahead,dynamic_duopoly,before,final,90096,73.3857,1.000000
twap,dynamic_duopoly,before,final,90096,96.0751,1.000000
lookahead,dynamic_duopoly,before,final,90097,81.6450,1.000000
twap,dynamic_duopoly,before,final,90097,107.7571,1.000000
lookahead,dynamic_duopoly,before,final,90098,68.4198,1.000000
twap,dynamic_duopoly,before,final,90098,114.8621,1.000000
lookahead,dynamic_duopoly,before,final,90099,85.9491,1.000000
twap,dynamic_duopoly,before,final,90099,111.9074,1.000000
lookahead,dynamic_duopoly,before,final,90100,73.0059,1.000000
twap,dynamic_duopoly,before,final,90100,110.1174,1.000000
lookahead,dynamic_duopoly,before,final,90101,157.7029,1.000000
twap,dynamic_duopoly,before,final,90101,114.5347,1.000000
lookahead,dynamic_duopoly,before,final,90102,78.8252,1.000000
twap,dynamic_duopoly,before,final,90102,108.1322,1.000000
lookahead,dynamic_duopoly,before,final,90103,104.0711,1.000000
