episode,val_shortfall_bps,eps
500,200.0,0.9341597222222222
1000,200.0,0.8681875
1500,200.0,0.8022152777777778
2000,198.49123008640882,0.7362430555555556
2500,200.0,0.6702708333333334
3000,197.96597297575278,0.6042986111111112
3500,198.05248005047102,0.538326388888889
4000,198.89975300085732,0.47235416666666674
4500,200.0,0.4063819444444444
5000,200.0,0.3404097222222222
5500,197.7169302638903,0.2744375
6000,197.2640938292227,0.2084652777777778
6500,191.09646662633648,0.1424930555555557
7000,177.33308525721498,0.07652083333333348
7500,102.78898398177294,0.05
8000,96.08957285968683,0.05
8500,93.42396718584023,0.05
9000,98.70021413155953,0.05
9500,88.04180024726007,0.05
10000,92.75633150173873,0.05
10500,90.20073874284843,0.05
11000,92.31588261253268,0.05
11500,95.11461135396009,0.05
12000,87.99844455696335,0.05
