episode,val_shortfall_bps,eps
500,200.0,0.9341597222222222
1000,198.94164582163597,0.8681875
1500,198.54617007913453,0.8022152777777778
2000,187.69764284848986,0.7362430555555556
2500,189.19330308861555,0.6702708333333334
3000,197.99913179285156,0.6042986111111112
3500,192.89057715186118,0.538326388888889
4000,197.9809798004178,0.47235416666666674
4500,198.4828509393434,0.4063819444444444
5000,197.98935894748323,0.3404097222222222
5500,188.11841884229486,0.2744375
6000,193.10077173546887,0.2084652777777778
6500,187.19884253920628,0.1424930555555557
7000,196.3119028093272,0.07652083333333348
7500,114.43578304765325,0.05
8000,92.0148342814081,0.05
8500,98.95746659219868,0.05
9000,93.85502205277152,0.05
9500,86.37446417095505,0.05
10000,97.01170835338814,0.05
10500,86.09887958686991,0.05
11000,83.03429224751983,0.05
11500,94.09217785973955,0.05
12000,91.20857145727764,0.05
