episode,val_shortfall_bps,eps
500,200.0,0.9341597222222222
1000,198.4987298366712,0.8681875
1500,199.44448737372113,0.8022152777777778
2000,198.93443654779182,0.7362430555555556
2500,187.12972827721958,0.6702708333333334
3000,191.29897641934215,0.6042986111111112
3500,189.93896173862834,0.538326388888889
4000,184.35528060653604,0.47235416666666674
4500,189.05617877962098,0.4063819444444444
5000,191.62746849646746,0.3404097222222222
5500,197.21786708348543,0.2744375
6000,191.1519350010505,0.2084652777777778
6500,190.48757190068008,0.1424930555555557
7000,122.70558671981989,0.07652083333333348
7500,109.92049552188031,0.05
8000,97.1036654853034,0.05
8500,89.81470207302311,0.05
9000,88.49356874193506,0.05
9500,87.99246202325138,0.05
10000,86.76096128460021,0.05
10500,86.8006834467701,0.05
11000,91.38587259915063,0.05
11500,120.61132557859003,0.05
12000,87.46129987267977,0.05
