policy,agent_order,seed,shortfall_bps,completion_rate,forced_terminal_cost_bps,wait_share
dqn_order_random,random,90089,58.1208,1.0,0.7541,0.68
dqn_order_random,random,90090,115.0012,1.0,3.5072,0.72
dqn_order_random,random,90091,143.5123,1.0,47.428,0.78
dqn_order_random,random,90092,102.76,1.0,3.1037,0.76
dqn_order_random,random,90093,74.2227,1.0,3.1155,0.74
dqn_order_random,random,90094,91.3963,1.0,4.1806,0.76
dqn_order_random,random,90095,64.9451,1.0,1.2834,0.72
dqn_order_random,random,90096,60.0191,1.0,3.1174,0.78
dqn_order_random,random,90097,87.958,1.0,1.927,0.74
dqn_order_random,random,90098,76.6533,1.0,1.7837,0.7
dqn_order_random,random,90099,91.5844,1.0,2.4756,0.7
dqn_order_random,random,90100,74.9661,1.0,1.2324,0.72
dqn_order_random,random,90101,106.704,1.0,2.9591,0.72
dqn_order_random,random,90102,60.4116,1.0,2.6666,0.68
dqn_order_random,random,90103,103.3815,1.0,3.9774,0.72
dqn_order_random,random,90104,91.8154,1.0,3.5067,0.74
dqn_order_random,random,90105,262.449,1.0,156.1275,0.84
dqn_order_random,random,90106,107.51,1.0,2.4957,0.7
dqn_order_random,random,90107,101.7013,1.0,4.0829,0.72
dqn_order_random,random,90108,52.3675,1.0,1.6331,0.74
dqn_order_random,random,90109,108.7529,1.0,3.053,0.74
dqn_order_random,random,90110,67.8571,1.0,3.3341,0.74
dqn_order_random,random,90111,163.0017,1.0,10.7368,0.8
dqn_order_random,random,90112,63.17,1.0,2.3953,0.74
dqn_order_random,random,90113,134.3402,1.0,33.8299,0.8
dqn_order_random,random,90114,108.1408,1.0,2.0856,0.72
dqn_order_random,random,90115,156.0696,1.0,26.5345,0.78
dqn_order_random,random,90116,36.3673,1.0,0.8878,0.7
dqn_order_random,random,90117,111.5586,1.0,3.6068,0.76
dqn_order_random,random,90118,118.0479,1.0,2.4859,0.74
dqn_order_random,random,90119,116.8528,1.0,3.4666,0.76
dqn_order_random,random,90120,111.3975,1.0,3.4656,0.72
dqn_order_random,random,90121,49.0573,1.0,1.5662,0.7
dqn_order_random,random,90122,126.1934,1.0,4.3004,0.74
dqn_order_random,random,90123,133.9581,1.0,18.6032,0.78
dqn_order_random,random,90124,22.627,1.0,-0.2703,0.72
dqn_order_random,random,90125,-5.5698,1.0,-0.2083,0.64
dqn_order_random,random,90126,55.3419,1.0,1.0763,0.74
dqn_order_random,random,90127,130.5885,1.0,7.2096,0.76
dqn_order_random,random,90128,127.1803,1.0,3.6709,0.74
dqn_order_random,random,90129,59.7781,1.0,1.4381,0.64
dqn_order_random,random,90130,205.0303,1.0,93.4719,0.82
dqn_order_random,random,90131,86.6319,1.0,1.5209,0.72
dqn_order_random,random,90132,129.0839,1.0,3.0233,0.78
dqn_order_random,random,90133,123.698,1.0,4.6361,0.7
dqn_order_random,random,90134,77.2928,1.0,5.0773,0.74
dqn_order_random,random,90135,87.4949,1.0,2.0153,0.76
dqn_order_random,random,90136,68.3499,1.0,3.1226,0.76
dqn_order_random,random,90137,153.3932,1.0,5.8845,0.76
dqn_order_random,random,90138,111.0687,1.0,4.0515,0.74
dqn_order_random,random,90139,76.0954,1.0,2.9926,0.8
dqn_order_random,random,90140,62.9336,1.0,4.1561,0.76
dqn_order_random,random,90141,111.2572,1.0,2.7421,0.72
dqn_order_random,random,90142,127.682,1.0,9.4299,0.74
dqn_order_random,random,90143,90.9718,1.0,1.2448,0.74
dqn_order_random,random,90144,124.283,1.0,2.3989,0.72
dqn_order_random,random,90145,121.1806,1.0,2.5648,0.72
dqn_order_random,random,90146,77.0645,1.0,5.9276,0.78
dqn_order_random,random,90147,77.711,1.0,2.8343,0.74
dqn_order_random,random,90148,159.4827,1.0,6.7834,0.74
dqn_order_random,random,90149,85.6582,1.0,1.6692,0.76
dqn_order_random,random,90150,213.3342,1.0,113.2157,0.88
dqn_order_random,random,90151,69.7337,1.0,1.3791,0.72
dqn_order_random,random,90152,119.8601,1.0,1.9756,0.74
