policy,seed_set,arb_profit_x,arb_trade_count,avg_depth_factor,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,jit_event_count,mean_post_trade_gap_bps,min_depth_factor,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,235.93932842074946,11,1.0,0.004565256416740936,0.004433445365187829,31.136904407333564,28.539470607243157,140.15487778102698,0.9999994336783434,5.823224835176254,43.063557325444314,215.3177866272216,49.999971683917174,0.0,20.0,100.0,0,61.46974303533213,1.0,DynamicDuopoly,50,1.0,0.0,1.0,30000,165.97813650778957,97.09124108284009,0.00011326433128538754,-0.016597813650779187,0.0
rl,fresh,169.19207308477326,11,1.0,0.004029576636252365,0.004033400427215914,20.489689162455864,20.565027265796584,137.70428608681243,0.9999994336783434,7.6592986111682775,42.232947736057774,211.16473868028888,49.999971683917174,0.0,20.0,100.0,0,52.39931643094074,1.0,DynamicDuopoly,50,1.0,0.0,1.0,40000,165.36361997739553,95.47126036583524,0.00011326433128538754,-0.016536361997739238,0.0
