policy,seed,shortfall_bps,completion_rate
immediate,30000,236.56576319723666,0.9999999999999716
immediate,30001,243.36614116754197,0.9999999999999716
immediate,30002,244.01318102808423,0.9999999999999716
immediate,30003,241.4291274236761,0.9999999999999716
immediate,30004,237.2892294242089,0.9999999999999716
immediate,30005,239.28146148416405,0.9999999999999716
immediate,30006,241.32934972924107,0.9999999999999716
immediate,30007,241.00540250201723,0.9999999999999716
immediate,30008,241.5904516183246,0.9999999999999716
immediate,30009,242.34137338229763,0.9999999999999716
immediate,30010,242.0927205898274,0.9999999999999716
immediate,30011,237.44592195318387,0.9999999999999716
immediate,30012,240.30404436625525,0.9999999999999716
immediate,30013,243.2478825273515,0.9999999999999716
immediate,30014,239.39612676659002,0.9999999999999716
immediate,30015,243.17649309709947,0.9999999999999716
immediate,30016,242.8174985639444,0.9999999999999716
immediate,30017,240.2330823465351,0.9999999999999716
immediate,30018,241.92940955504298,0.9999999999999716
immediate,30019,241.74401169584002,0.9999999999999716
immediate,30020,243.62323543603839,0.9999999999999716
immediate,30021,240.29255239949694,0.9999999999999716
immediate,30022,238.90547196342365,0.9999999999999716
immediate,30023,239.6104559923026,0.9999999999999716
immediate,30024,242.5694492060166,0.9999999999999716
immediate,30025,245.58026861553503,0.9999999999999716
immediate,30026,239.9112192300307,0.9999999999999716
immediate,30027,239.5773451934203,0.9999999999999716
immediate,30028,240.19001668609548,0.9999999999999716
immediate,30029,237.38457186616856,0.9999999999999716
immediate,30030,241.8971625270044,0.9999999999999716
immediate,30031,237.84554717327106,0.9999999999999716
immediate,30032,239.03612527440404,0.9999999999999716
immediate,30033,238.4675992428775,0.9999999999999716
immediate,30034,244.9072708839491,0.9999999999999716
immediate,30035,241.96215808607798,0.9999999999999716
immediate,30036,242.8451672412323,0.9999999999999716
immediate,30037,239.08858558168708,0.9999999999999716
immediate,30038,237.97309238691946,0.9999999999999716
immediate,30039,239.45743033419407,0.9999999999999716
immediate,30040,239.40824031224605,0.9999999999999716
immediate,30041,244.38634896868157,0.9999999999999716
immediate,30042,243.65779398898871,0.9999999999999716
immediate,30043,239.85132660218065,0.9999999999999716
immediate,30044,236.50189623945758,0.9999999999999716
immediate,30045,237.316582699977,0.9999999999999716
immediate,30046,238.07834996978912,0.9999999999999716
immediate,30047,243.26353565163578,0.9999999999999716
immediate,30048,239.6413157876332,0.9999999999999716
immediate,30049,240.2324609496644,0.9999999999999716
immediate,30050,243.30071913401758,0.9999999999999716
immediate,30051,241.1485943538834,0.9999999999999716
immediate,30052,244.27117293706237,0.9999999999999716
immediate,30053,238.3438807445766,0.9999999999999716
immediate,30054,236.69620600900075,0.9999999999999716
immediate,30055,237.42757963405296,0.9999999999999716
immediate,30056,236.5473689328616,0.9999999999999716
immediate,30057,241.7780766449489,0.9999999999999716
immediate,30058,241.14019846933502,0.9999999999999716
immediate,30059,239.52186114950004,0.9999999999999716
immediate,30060,241.26552599797566,0.9999999999999716
immediate,30061,240.59029946652288,0.9999999999999716
immediate,30062,235.09287356399133,0.9999999999999716
immediate,30063,239.2692915272781,0.9999999999999716
immediate,30064,240.72184091329098,0.9999999999999716
immediate,30065,241.9973160999564,0.9999999999999716
immediate,30066,240.0952521410653,0.9999999999999716
immediate,30067,243.69134641393308,0.9999999999999716
immediate,30068,237.58587034316574,0.9999999999999716
immediate,30069,242.47342582714177,0.9999999999999716
immediate,30070,242.10828797073324,0.9999999999999716
immediate,30071,237.10071321779384,0.9999999999999716
immediate,30072,243.6681917503504,0.9999999999999716
immediate,30073,244.09403942000776,0.9999999999999716
immediate,30074,245.1336516445996,0.9999999999999716
immediate,30075,241.24288593399527,0.9999999999999716
immediate,30076,239.8138424450356,0.9999999999999716
immediate,30077,244.8132507569039,0.9999999999999716
immediate,30078,243.0049050187618,0.9999999999999716
immediate,30079,238.81147965397236,0.9999999999999716
immediate,30080,244.49087057964778,0.9999999999999716
immediate,30081,242.86594332644003,0.9999999999999716
immediate,30082,237.05918821935762,0.9999999999999716
immediate,30083,238.23135585460537,0.9999999999999716
immediate,30084,236.27967929893336,0.9999999999999716
