step,oracle_price,remaining_after,action
0,998.7662116207642,45.0,1
1,997.9366508402536,45.0,0
2,998.3524529913625,45.0,0
3,997.284096476412,45.0,0
4,997.7905531751945,45.0,0
5,996.843607892419,45.0,0
6,995.8653990984137,45.0,0
7,996.1207009560001,45.0,0
8,994.0800820764713,45.0,0
9,993.332421330401,45.0,0
10,992.9210701314173,45.0,0
11,993.7313938092036,45.0,0
12,993.4121723595238,45.0,0
13,993.4091437653225,45.0,0
14,992.4379322348441,45.0,0
15,992.8879157559348,45.0,0
16,993.2070338161207,45.0,0
17,994.2537898329866,45.0,0
18,993.9744488867452,45.0,0
19,993.1023191785599,45.0,0
20,993.5712163423441,45.0,0
21,993.6766794469902,45.0,0
22,994.0321932471659,45.0,0
23,992.8457870333432,45.0,0
24,993.1483314545482,45.0,0
25,992.4142494900699,45.0,0
26,992.9206798607358,45.0,0
27,994.8223728600592,45.0,0
28,994.8546548046924,40.5,1
29,995.6667025108603,40.5,0
30,995.3772515351278,40.5,0
31,996.2510784803974,36.45,1
32,995.0553489382572,36.45,0
33,995.3603099642667,32.805,1
34,995.3489456727092,32.805,0
35,995.8587931650853,32.805,0
36,996.0489070933644,32.805,0
37,995.4923289298722,29.5245,1
38,995.9437409814178,26.57205,2
39,996.84056689076,23.914845,1
40,997.0660865683208,23.914845,0
41,996.8573051809982,21.5233605,1
42,996.9814412299519,16.142520375,4
43,996.7380504518866,16.142520375,0
44,996.8703117330347,12.10689028125,3
45,997.1356593814309,6.053445140625,6
46,996.7641255682745,3.0267225703125,6
47,996.0997678370595,3.0267225703125,0
48,996.9927123582963,1.51336128515625,5
49,998.18348225881,0.756680642578125,5
