step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,999.1031239798723,999.1031239798723,0.0026021535195951385,0.0033978464804048617,0.0026021535195951385,0.0033978464804048617,wait,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.98359712333973,0.98359712333973,1.432337004002455,1.432337004002455,0.0,0.0,-0.0
1,999.8947733979676,999.7783823528407,999.7783823528407,0.0033988769160319243,0.002601123083968076,0.0033988769160319243,0.002601123083968076,wait,0.0,0.0,0.0,0.0,0.0,50.0,-7.9173272944012645,-7.9173272944012645,0.9654766920294966,0.9654766920294966,0.6275640562416306,0.6275640562416306,0.0,0.0,-0.0
2,998.9854012532929,998.7131224208437,998.7131224208437,0.0029989181591036107,0.0030010818408963895,0.0029989181591036107,0.0030010818408963895,wait,0.0,0.0,0.0,0.0,0.0,50.0,7.937864743097615,7.937864743097615,1.0738988873170217,1.0738988873170217,1.6071321189658403,1.6071321189658403,0.0,0.0,-0.0
3,998.7152725721271,998.8038161890294,998.8038161890294,0.002795996000407927,0.003204003999592073,0.002795996000407927,0.003204003999592073,wait,0.0,0.0,0.0,0.0,0.0,50.0,-0.02152917195215389,-0.02152917195215389,0.8013288005373391,0.8013288005373391,0.755897335814994,0.755897335814994,0.0,0.0,-0.0
4,999.2094729512404,1000.1948670015144,1000.1948670015144,0.003148499046194685,0.002851500953805315,0.003148499046194685,0.002851500953805315,wait,0.0,0.0,0.0,0.0,0.0,50.0,-4.05977698562945,-4.05977698562945,1.4498308186431912,1.4498308186431912,0.7537825437032075,0.7537825437032075,0.0,0.0,-0.0
5,999.8993760308283,1000.3882871304643,1000.3882871304643,0.003374664530318995,0.002625335469681005,0.003374664530318995,0.002625335469681005,wait,0.0,0.0,0.0,0.0,0.0,50.0,2.9552070715257237,2.9552070715257237,1.2265428660442053,1.2265428660442053,1.129875083248634,1.129875083248634,0.0,0.0,-0.0
6,999.6429509093978,1000.1962958199406,1000.1962958199406,0.003073717319693269,0.002926282680306731,0.003073717319693269,0.002926282680306731,wait,0.0,0.0,0.0,0.0,0.0,50.0,7.4560243773885455,7.4560243773885455,0.7300861712206416,0.7300861712206416,0.8260397543394946,0.8260397543394946,0.0,0.0,-0.0
7,1000.0495873581668,1000.1163966555998,1000.1163966555998,0.003057558128039389,0.002942441871960611,0.003057558128039389,0.002942441871960611,wait,0.0,0.0,0.0,0.0,0.0,50.0,1.4670118724943988,1.4670118724943988,1.1755812696572085,1.1755812696572085,1.2155214847477522,1.2155214847477522,0.0,0.0,-0.0
8,1000.0018528723429,999.3768283469451,999.3768283469451,0.0025171589063845826,0.0034828410936154175,0.0025171589063845826,0.0034828410936154175,wait,0.0,0.0,0.0,0.0,0.0,50.0,1.1454357102236208,1.1454357102236208,0.8523120367475738,0.8523120367475738,1.2222368152581364,1.2222368152581364,0.0,0.0,-0.0
9,1000.3380286508091,1006.2564194585617,1004.5467208470295,0.006168964601829908,0.0001,0.005301326184777999,0.0006986738152220014,exec_10_A,5.0,0.0,5034.659285316686,12.67303746064681,2.0,45.0,91.01785826152204,-9.608755004149605,0.01656065291755655,2.5880234057303455,1.5912218243455698,0.01065444646305726,0.0,0.0,-0.0007331857063337156
10,999.9586445428256,1002.9939050496265,1005.4039898717912,0.004345383715625942,0.001654616284374058,0.005568060200393731,0.0004319397996062693,wait,0.0,0.0,0.0,0.0,0.0,45.0,62.98035373868299,45.88266054044226,0.2783493971121915,1.0241907438992859,1.8983571061089697,0.5987353168465301,0.0,0.0,-0.0
11,1000.3037493746609,1004.4863073861907,1001.5530549506065,0.005167818700934001,0.0008321812990659994,0.003679532013241122,0.0023204679867588783,wait,0.0,0.0,0.0,0.0,0.0,45.0,26.893387899898702,50.986917726927,1.0822270243541088,0.17308895348674402,0.34019242069989714,2.088557657080742,0.0,0.0,-0.0
