step,oracle_price,remaining_after,action
0,999.8947733979676,45.0,1
1,998.9854012532929,45.0,0
2,998.7152725721271,45.0,0
3,999.2094729512404,45.0,0
4,999.8993760308283,45.0,0
5,999.6429509093978,45.0,0
6,1000.0495873581668,45.0,0
7,1000.0018528723429,45.0,0
8,1000.3380286508091,45.0,0
9,999.9586445428256,40.5,1
10,1000.3037493746609,40.5,0
11,1000.1859442932467,40.5,0
12,1000.4479078200981,40.5,0
13,999.8353120262168,40.5,0
14,999.8303933836387,40.5,0
15,999.6379873063064,40.5,0
16,999.3038273835632,40.5,0
17,998.5984620242683,40.5,0
18,997.6248573825017,40.5,0
19,996.8149813212117,40.5,0
20,997.0138404691445,40.5,0
21,997.2303812704545,40.5,0
22,998.046632239814,36.45,1
23,996.7224809263981,36.45,0
24,996.8228844704581,36.45,0
25,997.4764214581502,36.45,0
26,997.5604709587416,36.45,0
27,996.9369873492631,36.45,0
28,996.9402410511407,36.45,0
29,997.3836027461149,36.45,0
30,996.8143971631714,32.805,1
31,996.7026160389449,32.805,0
32,997.5648987255075,29.5245,1
33,998.068058021329,29.5245,0
34,997.2329561522673,29.5245,0
35,997.0640379802232,26.57205,1
36,997.7238084008321,26.57205,0
37,998.3132340112387,26.57205,0
38,998.3021326668717,23.914845,1
39,998.8040522894503,21.5233605,1
40,998.6987678974008,16.142520375,4
41,998.7799468483231,16.142520375,0
42,998.4834531343118,12.10689028125,4
43,998.5113869540418,9.080167710937499,3
44,999.5597153118119,4.540083855468749,6
45,999.6376769193805,4.540083855468749,0
46,998.3671858049654,4.540083855468749,0
47,999.2266121516428,2.2700419277343746,6
48,1000.716117261245,1.1350209638671873,6
49,1000.6925150015345,0.5675104819335937,6
