extension,regime,policy,seed,shortfall_bps,completion_rate,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,forced_terminal_cost_bps,route_share_A,route_share_B,wait_share,avg_depth_factor,min_depth_factor,jit_event_count
lp,weak,lookahead,95117,38.7034,1.000000,40.4799,9.2000,60.4618,-71.4383,0.7885,0.6076,0.3924,0.6200,0.9824,0.9474,0
lp,weak,twap,95117,90.4038,1.000000,43.6636,20.8000,53.1026,-27.1625,0.7892,0.5481,0.4519,0.0000,0.9760,0.9426,0
lp,weak,lookahead,95118,88.2266,1.000000,37.4621,9.6000,50.2238,-9.0593,0.8045,0.5452,0.4548,0.5800,0.9875,0.9588,0
lp,weak,twap,95118,92.3465,1.000000,41.1955,20.8000,48.1678,-17.8168,0.8091,0.4720,0.5280,0.0000,0.9941,0.9792,0
lp,weak,lookahead,95119,65.2815,1.000000,35.4854,10.0000,44.9145,-25.1184,0.8013,0.5013,0.4987,0.5400,0.9812,0.9445,0
lp,weak,twap,95119,98.9995,1.000000,42.1646,20.8000,50.1385,-14.1036,0.8042,0.5330,0.4670,0.0000,0.9830,0.9588,0
lp,weak,lookahead,95120,150.0171,1.000000,39.6466,9.2000,57.8016,43.3689,0.8081,0.5916,0.4084,0.6000,0.9867,0.9617,0
lp,weak,twap,95120,137.9868,1.000000,42.0317,20.8000,49.7216,25.4335,0.8194,0.5450,0.4550,0.0000,0.9902,0.9704,0
lp,weak,lookahead,95121,101.0902,1.000000,38.2254,9.2000,56.8141,-3.1492,0.8109,0.4807,0.5193,0.6000,0.9860,0.9531,0
lp,weak,twap,95121,113.7899,1.000000,42.6252,20.8000,50.9945,-0.6297,0.8204,0.5873,0.4127,0.0000,0.9804,0.9617,0
lp,weak,lookahead,95122,72.2792,1.000000,35.0517,10.0000,44.5099,-17.2824,0.8028,0.6060,0.3940,0.5600,0.9823,0.9559,0
lp,weak,twap,95122,106.4039,1.000000,42.2951,20.8000,50.3599,-7.0512,0.7994,0.5123,0.4877,0.0000,0.9860,0.9655,0
lp,weak,lookahead,95123,83.3687,1.000000,37.0017,10.0000,48.2908,-11.9238,0.7958,0.3434,0.6566,0.5600,0.9825,0.9474,0
lp,weak,twap,95123,104.1201,1.000000,41.8898,20.8000,49.5349,-8.1047,0.7980,0.5426,0.4574,0.0000,0.9856,0.9656,0
lp,weak,lookahead,95124,84.1565,1.000000,41.3795,9.2000,62.1497,-28.5727,0.7964,0.6328,0.3672,0.6200,0.9841,0.9512,0
lp,weak,twap,95124,109.3866,1.000000,42.9127,20.8000,51.6166,-5.9427,0.8016,0.5676,0.4324,0.0000,0.9732,0.9521,0
lp,weak,lookahead,95125,99.8982,1.000000,35.0157,9.6000,44.5578,10.7246,0.8111,0.6187,0.3813,0.5600,0.9850,0.9598,0
lp,weak,twap,95125,112.6322,1.000000,43.5579,20.8000,52.7734,-4.4992,0.8163,0.5294,0.4706,0.0000,0.9806,0.9502,0
lp,weak,lookahead,95126,102.9289,1.000000,38.4791,9.2000,56.4048,-1.1550,0.8150,0.5497,0.4503,0.6200,0.9840,0.9531,0
lp,weak,twap,95126,115.3691,1.000000,43.8073,20.8000,53.2634,-2.5017,0.8172,0.5979,0.4021,0.0000,0.9796,0.9455,0
lp,weak,lookahead,95127,107.5890,1.000000,36.3336,9.6000,49.4818,12.1736,0.7953,0.6045,0.3955,0.6000,0.9871,0.9588,0
lp,weak,twap,95127,115.3530,1.000000,41.6766,20.8000,49.0664,3.8100,0.7964,0.4392,0.5608,0.0000,0.9903,0.9704,0
lp,weak,lookahead,95128,75.1210,1.000000,35.7319,9.2000,54.2857,-24.0967,0.7984,0.6367,0.3633,0.6200,0.9818,0.9417,0
lp,weak,twap,95128,118.2980,1.000000,42.6020,20.8000,50.8034,4.0926,0.7959,0.5654,0.4346,0.0000,0.9856,0.9588,0
lp,weak,lookahead,95129,119.8242,1.000000,37.0536,10.0000,48.2723,24.4984,0.8072,0.4411,0.5589,0.5600,0.9883,0.9646,0
lp,weak,twap,95129,122.5616,1.000000,40.1516,20.8000,46.1026,15.5074,0.8246,0.5021,0.4979,0.0000,0.9867,0.9588,0
lp,weak,lookahead,95130,86.7184,1.000000,38.2172,10.0000,51.1894,-12.6882,0.8047,0.4908,0.5092,0.5800,0.9857,0.9559,0
lp,weak,twap,95130,101.3847,1.000000,41.5283,20.8000,48.8268,-9.7704,0.8159,0.5779,0.4221,0.0000,0.9869,0.9559,0
lp,weak,lookahead,95131,46.2430,1.000000,40.5973,9.2000,60.5419,-64.0962,0.7964,0.6221,0.3779,0.6200,0.9848,0.9588,0
lp,weak,twap,95131,85.5598,1.000000,43.6322,20.8000,53.0628,-31.9352,0.7927,0.5681,0.4319,0.0000,0.9821,0.9646,0
lp,weak,lookahead,95132,87.1480,1.000000,35.8938,8.8000,54.2935,-11.8393,0.8063,0.3915,0.6085,0.6400,0.9877,0.9588,0
lp,weak,twap,95132,114.0202,1.000000,44.2170,20.8000,54.0958,-5.0926,0.8082,0.5380,0.4620,0.0000,0.9795,0.9502,0
lp,weak,lookahead,95133,90.2308,1.000000,36.8510,9.2000,52.3511,-8.1713,0.7939,0.5494,0.4506,0.6000,0.9846,0.9483,0
lp,weak,twap,95133,99.5507,1.000000,42.4365,20.8000,50.6297,-14.3156,0.7871,0.4012,0.5988,0.0000,0.9830,0.9531,0
lp,weak,lookahead,95134,16.9071,1.000000,39.8601,9.2000,62.4207,-94.5737,0.7982,0.5103,0.4897,0.6200,0.9810,0.9474,0
lp,weak,twap,95134,74.1004,1.000000,42.3100,20.8000,50.5438,-39.5534,0.7948,0.5659,0.4341,0.0000,0.9664,0.9258,0
lp,weak,lookahead,95135,138.1427,1.000000,39.2131,9.6000,57.5518,31.7777,0.8172,0.5649,0.4351,0.6000,0.9861,0.9559,0
lp,weak,twap,95135,119.0512,1.000000,40.8862,20.8000,47.5443,9.8207,0.8238,0.5897,0.4103,0.0000,0.9841,0.9675,0
lp,weak,lookahead,95136,61.2956,1.000000,39.2408,9.2000,60.9967,-48.1419,0.7932,0.6150,0.3850,0.6200,0.9862,0.9540,0
lp,weak,twap,95136,98.2144,1.000000,42.0697,20.8000,49.9640,-14.6192,0.7867,0.6451,0.3549,0.0000,0.9759,0.9578,0
lp,weak,lookahead,95137,112.8074,1.000000,36.6569,9.2000,51.9789,14.9716,0.8092,0.4728,0.5272,0.6000,0.9837,0.9569,0
lp,weak,twap,95137,117.4052,1.000000,42.3012,20.8000,50.3247,3.9793,0.8069,0.5476,0.4524,0.0000,0.9796,0.9627,0
lp,weak,lookahead,95138,99.0659,1.000000,36.8279,9.2000,53.1425,-0.1045,0.8044,0.3923,0.6077,0.6200,0.9852,0.9531,0
lp,weak,twap,95138,116.5678,1.000000,40.5841,20.8000,46.8825,8.3012,0.7986,0.5102,0.4898,0.0000,0.9726,0.9474,0
lp,weak,lookahead,95139,112.7067,1.000000,36.6449,10.0000,48.0524,18.0093,0.8149,0.6255,0.3745,0.5800,0.9868,0.9588,0
lp,weak,twap,95139,111.0588,1.000000,41.3654,20.8000,48.4714,0.4220,0.8095,0.5533,0.4467,0.0000,0.9881,0.9704,0
lp,weak,lookahead,95140,90.6084,1.000000,35.7918,8.8000,54.2475,-8.2309,0.8146,0.6855,0.3145,0.6400,0.9856,0.9598,0
lp,weak,twap,95140,109.8942,1.000000,40.6739,20.8000,47.1922,1.2282,0.8195,0.5835,0.4165,0.0000,0.9721,0.9351,0
lp,weak,lookahead,95141,115.0730,1.000000,34.7308,10.0000,44.1998,26.1424,0.8143,0.5562,0.4438,0.5800,0.9864,0.9588,0
lp,weak,twap,95141,127.8896,1.000000,41.9678,20.8000,49.6132,15.5086,0.8216,0.5368,0.4632,0.0000,0.9798,0.9617,0
lp,weak,lookahead,95142,98.6214,1.000000,39.8446,9.6000,56.4915,-7.3146,0.8211,0.6295,0.3705,0.6000,0.9857,0.9502,0
lp,weak,twap,95142,107.4086,1.000000,43.3864,20.8000,52.4678,-9.2456,0.8325,0.4243,0.5757,0.0000,0.9792,0.9588,0
lp,weak,lookahead,95143,149.8336,1.000000,40.8295,9.2000,64.2908,35.5133,0.8025,0.5882,0.4118,0.6200,0.9826,0.9445,0
lp,weak,twap,95143,128.7990,1.000000,41.9830,20.8000,49.6677,16.3483,0.8041,0.4600,0.5400,0.0000,0.9652,0.9398,0
lp,weak,lookahead,95144,126.0131,1.000000,38.2275,9.6000,51.8006,26.3849,0.8024,0.6075,0.3925,0.5800,0.9851,0.9588,0
lp,weak,twap,95144,115.4243,1.000000,39.2796,20.8000,44.3877,10.9570,0.8074,0.5739,0.4261,0.0000,0.9855,0.9617,0
lp,weak,lookahead,95145,59.2347,1.000000,38.9045,9.2000,57.0618,-45.9316,0.7964,0.5601,0.4399,0.6200,0.9882,0.9646,0
lp,weak,twap,95145,91.6571,1.000000,41.7014,20.8000,49.2630,-20.1073,0.7950,0.5705,0.4295,0.0000,0.9835,0.9483,0
lp,weak,lookahead,95146,91.6720,1.000000,37.9359,9.2000,55.3069,-10.7708,0.8208,0.4975,0.5025,0.6200,0.9832,0.9559,0
lp,weak,twap,95146,95.9460,1.000000,42.6865,20.8000,51.1033,-18.6438,0.8330,0.5505,0.4495,0.0000,0.9840,0.9569,0
lp,weak,lookahead,95147,133.4926,1.000000,38.3607,10.4000,48.6489,36.0830,0.8004,0.5888,0.4112,0.5400,0.9884,0.9617,0
lp,weak,twap,95147,116.5009,1.000000,42.0374,20.8000,49.7505,3.9131,0.8003,0.4315,0.5685,0.0000,0.9924,0.9763,0
lp,weak,lookahead,95148,72.6060,1.000000,35.6625,9.2000,50.8938,-23.1502,0.8017,0.6292,0.3708,0.6200,0.9835,0.9559,0
lp,weak,twap,95148,111.2424,1.000000,43.8387,20.8000,53.3643,-6.7607,0.7964,0.5660,0.4340,0.0000,0.9803,0.9598,0
lp,weak,lookahead,95149,126.3577,1.000000,33.5497,9.2000,52.2072,31.4008,0.8123,0.4573,0.5427,0.6000,0.9887,0.9675,0
lp,weak,twap,95149,124.8219,1.000000,41.6089,20.8000,48.9531,13.4598,0.8250,0.5242,0.4758,0.0000,0.9779,0.9388,0
lp,weak,lookahead,95150,174.4260,1.000000,44.0403,9.2000,70.3452,50.8405,0.8226,0.5008,0.4992,0.6200,0.9883,0.9531,0
lp,weak,twap,95150,116.0018,1.000000,42.9269,20.8000,51.5812,0.6937,0.8432,0.4973,0.5027,0.0000,0.9770,0.9588,0
lp,weak,lookahead,95151,106.2235,1.000000,36.5165,10.0000,46.7379,12.9691,0.8059,0.4604,0.5396,0.5600,0.9838,0.9502,0
