episode,val_shortfall_bps,eps
500,198.89975300085732,0.9341597222222222
1000,193.8770146087601,0.8681875
1500,199.44448737372113,0.8022152777777778
2000,199.44448737372113,0.7362430555555556
2500,197.6239741027595,0.6702708333333334
3000,194.64828872097704,0.6042986111111112
3500,197.64952216192705,0.538326388888889
4000,197.5595913604071,0.47235416666666674
4500,187.10399130876988,0.4063819444444444
5000,196.54466306336536,0.3404097222222222
5500,200.0,0.2744375
6000,195.49845146983557,0.2084652777777778
6500,191.77743208929533,0.1424930555555557
7000,192.13682748204081,0.07652083333333348
7500,102.63161052381103,0.05
8000,101.40419967434408,0.05
8500,89.02135398270326,0.05
9000,120.81950527115767,0.05
9500,102.6090493508849,0.05
10000,86.04857515537928,0.05
10500,97.15440902294172,0.05
11000,86.95541161077607,0.05
11500,90.2739213222897,0.05
12000,88.96290610729507,0.05
