"lb","ub","method","Delta","Mbar"
-0.0952323621441691,0.0457987695807835,"C-LF","DeltaRM",0
-0.403465351068808,0.365663192049748,"C-LF","DeltaRM",0.5
-0.726237631923854,0.726237631923854,"C-LF","DeltaRM",1
-0.726237631923854,0.726237631923854,"C-LF","DeltaRM",1.5
-0.726237631923854,0.726237631923854,"C-LF","DeltaRM",2
