"lb","ub","method","Delta","Mbar"
-0.16036524114594,0.051980457474891,"C-LF","DeltaRM",0
-0.600540178912038,0.516486673207959,"C-LF","DeltaRM",0.5
-1.10486121313651,1.0517747884813,"C-LF","DeltaRM",1
-1.10486121313651,1.10486121313651,"C-LF","DeltaRM",1.5
-1.10486121313651,1.10486121313651,"C-LF","DeltaRM",2
