"lb","ub","method","Delta","Mbar"
-4.86539858990906,3.11884524994171,"C-LF","DeltaRM",0
-31.3963755160798,28.4854532828009,"C-LF","DeltaRM",0.5
-41.5430187292235,41.5430187292235,"C-LF","DeltaRM",1
-41.5430187292235,41.5430187292235,"C-LF","DeltaRM",1.5
-41.5430187292235,41.5430187292235,"C-LF","DeltaRM",2
