"rel","coef","beta","se","crv1_p","wcr_p"
-6,"rel::-6:treated",-1.36621691332409,0.941662294337404,0.147132158027464,0.12625250501002
-5,"rel::-5:treated",0.43436343364627,1.20049728652831,0.717562987634569,0.717434869739479
-4,"rel::-4:treated",-0.123382836124556,1.02988881100991,0.904663890949242,0.897795591182365
-3,"rel::-3:treated",-0.362829678473081,1.16611859111154,0.755756474738392,0.753507014028056
-2,"rel::-2:treated",-0.929319037711827,0.72774012571304,0.201899972012094,0.212424849699399
0,"rel::0:treated",-1.05197290732416,0.88474531296637,0.234716030598876,0.224448897795591
1,"rel::1:treated",0.684491477947132,1.29730332794342,0.597875247212264,0.6312625250501
2,"rel::2:treated",-1.68693079003159,0.964315217095,0.0805350051777169,0.062124248496994
3,"rel::3:treated",0.451348695204157,1.05409534360178,0.668607664262064,0.711422845691383
4,"rel::4:treated",0.0377594173372303,1.29120473679672,0.976676155599344,0.973947895791583
5,"rel::5:treated",-1.1364042910048,1.03203942969798,0.271106224373624,0.288577154308617
6,"rel::6:treated",-0.941277031852853,0.821925907960309,0.252395459136307,0.260521042084168
