"rel","coef","beta","se","crv1_p","wcr_p"
-6,"rel::-6:treated",-0.585444247020467,0.506667199605163,0.248168475802718,0.276553106212425
-5,"rel::-5:treated",-0.0226437023345587,0.148910271105467,0.879168010213441,0.865731462925852
-4,"rel::-4:treated",-0.255817623412305,0.303518567770626,0.399518610623012,0.51503006012024
-3,"rel::-3:treated",-0.0529481325439026,0.127879205742541,0.6789273714535,0.721442885771543
-2,"rel::-2:treated",-0.283518450655983,0.288102311060245,0.32530860766159,0.460921843687375
0,"rel::0:treated",-0.00922023798534133,0.0667098060891644,0.890098901023273,0.879759519038076
1,"rel::1:treated",-0.292245871469247,0.289332508058759,0.312705470026646,0.438877755511022
2,"rel::2:treated",-0.691922003204202,0.541052313245368,0.20124718061428,0.102204408817635
3,"rel::3:treated",-0.662612276894554,0.508806473494843,0.193116807941542,0.13627254509018
4,"rel::4:treated",-0.445955719326633,0.494727589698701,0.367582978450455,0.673346693386774
5,"rel::5:treated",-0.467129454078317,0.508401462266787,0.35841038895223,0.539078156312625
6,"rel::6:treated",-0.180473525609938,0.302696659505262,0.551163271072394,0.755511022044088
