"lb","ub","method","Delta","Mbar"
-0.419357472205476,0.333134440537061,"C-LF","DeltaRM",0
-3.06875608165316,3.2725559746876,"C-LF","DeltaRM",0.5
-3.91530948348852,3.91530948348852,"C-LF","DeltaRM",1
-3.91530948348852,3.91530948348852,"C-LF","DeltaRM",1.5
-3.91530948348852,3.91530948348852,"C-LF","DeltaRM",2
