"lb","ub","method","Delta","Mbar"
-1.03145475834729,0.373079380678806,"C-LF","DeltaRM",0
-7.13239992474187,5.53766845438933,"C-LF","DeltaRM",0.5
-7.30796669212013,7.30796669212013,"C-LF","DeltaRM",1
-7.30796669212013,7.30796669212013,"C-LF","DeltaRM",1.5
-7.30796669212013,7.30796669212013,"C-LF","DeltaRM",2
