"lb","ub","method","Delta","Mbar"
-2.9771718011248e-06,9.31157988862439e-06,"C-LF","DeltaRM",0
-6.32807367941208e-05,6.32807367941208e-05,"C-LF","DeltaRM",0.5
-6.32807367941208e-05,6.32807367941208e-05,"C-LF","DeltaRM",1
-6.32807367941208e-05,6.32807367941208e-05,"C-LF","DeltaRM",1.5
-6.32807367941208e-05,6.32807367941208e-05,"C-LF","DeltaRM",2
