"lb","ub","method","Delta","Mbar"
-0.247339866663849,0.0859549891243163,"C-LF","DeltaRM",0
-1.62963642645898,1.53491052007708,"C-LF","DeltaRM",0.5
-1.75242926806514,1.75242926806514,"C-LF","DeltaRM",1
-1.75242926806514,1.75242926806514,"C-LF","DeltaRM",1.5
-1.75242926806514,1.75242926806514,"C-LF","DeltaRM",2
