"lb","ub","method","Delta","Mbar"
-0.358780048123608,0.550129407122864,"C-LF","DeltaRM",0
-3.13334575361284,3.42993726006168,"C-LF","DeltaRM",0.5
-4.77895024100645,4.77895024100645,"C-LF","DeltaRM",1
-4.77895024100645,4.77895024100645,"C-LF","DeltaRM",1.5
-4.77895024100645,4.77895024100645,"C-LF","DeltaRM",2
