"lb","ub","method","Delta","Mbar"
-0.0844984345324042,0.331493858550201,"C-LF","DeltaRM",0
-0.548156511197391,0.790818682162245,"C-LF","DeltaRM",0.5
-1.15914519166247,1.40180736262732,"C-LF","DeltaRM",1
-1.77880037823343,2.02146254919829,"C-LF","DeltaRM",1.5
-2.16445989994543,2.16445989994543,"C-LF","DeltaRM",2
