"lb","ub","method","Delta","Mbar"
-1.42703512400769,1.86353998546887,"C-LF","DeltaRM",0
-6.06070211490325,5.92639292676135,"C-LF","DeltaRM",0.5
-11.4666469376147,10.8958328880117,"C-LF","DeltaRM",1
-16.7718598692198,16.3353550077586,"C-LF","DeltaRM",1.5
-16.7718598692198,16.7718598692198,"C-LF","DeltaRM",2
