pool,treated,tier,class,fr12_usd,fr4_usd,sw12,old,covered
0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,1,3000,weth-pair,138107.93,37504.53,29305,1,1
0xbf85f94d3233ee588f0907a9147fbb59d7246b54,1,3000,weth-pair,12685.46,4491.68,13290,1,1
0x464bd7e6718a815c20a5ad529003d7a93a9676b3,1,10000,weth-pair,105808.18,34003.5,22669,1,1
0x003896387666c5c11458eeb3f927b72a11b19783,1,3000,other,156759.8,30143.88,36212,0,1
0x407e443b1084bcdc9e5bd8022559e52a2604ace3,1,10000,weth-pair,8378.58,84.0,1996,0,1
0x95dbb3c7546f22bce375900abfdd64a4e5bd73d6,0,500,stable-stable,171643.02,59535.28,20163,1,1
0xc02d0fa00c0bec48186026c71da2e54ebf680139,1,3000,weth-pair,43723.69,7545.06,6475,1,1
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,1,3000,btc-pair,8816014.79,3202406.35,27194,1,1
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,1,3000,weth-pair,371680.63,148821.7,24579,1,1
0xc45a81bc23a64ea556ab4cdf08a86b61cdceea8b,1,10000,weth-pair,81017.25,26597.21,25165,1,1
0xc3dc20a8ed888c21205c225aef9a15f772985011,1,10000,weth-pair,168557.48,13028.4,22039,0,1
0xfad57d2039c21811c8f2b5d5b65308aa99d31559,1,3000,other,247710.38,105633.62,30757,1,1
0xcdf9f50519eb0a9995730ddb6e7d3a8b1d8ffa07,1,3000,weth-pair,126275.97,11929.46,51422,0,1
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,0,100,weth-pair,199655.66,37486.56,40391,1,1
0x360acf12e72044ba3eaaa654e51e4725c699dcb1,1,3000,weth-pair,52571.25,21188.35,15687,1,1
0xc593fe9193b745447e86b45ea0bf62565ee030cc,1,10000,weth-pair,157317.31,76509.88,14371,1,1
0xcc6d2f26d363836f85a42d249e145ec0320d3e55,0,100,stable-stable,37999.57,14336.7,10607,0,1
0x3b6dce2de2b52d1b33a8bc5889cd683a1c29eedf,1,3000,other,32114.24,2489.95,17314,0,1
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,1,3000,weth-pair,862148.2,370160.83,30894,1,1
0xdad8bccfc4b5fd68e26da0ac34cee693f2b442b9,1,10000,other,51279.05,11417.02,11009,0,1
0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,1,3000,other,140485.32,37514.49,17735,1,1
