"lb","ub","method","Delta","Mbar"
-2.37988384652618,1.2555292733642,"C-LF","DeltaRM",0
-9.83810251516726,9.9130594867114,"C-LF","DeltaRM",0.5
-18.7205036431469,18.7205036431469,"C-LF","DeltaRM",1
-18.7205036431469,18.7205036431469,"C-LF","DeltaRM",1.5
-18.7205036431469,18.7205036431469,"C-LF","DeltaRM",2
