"lb","ub","method","Delta","Mbar"
-0.0862989372890389,0.0104755935437562,"C-LF","DeltaRM",0
-0.29880383489095,0.22697119344805,"C-LF","DeltaRM",0.5
-0.498338950010115,0.48038078964939,"C-LF","DeltaRM",1
-0.498338950010115,0.498338950010115,"C-LF","DeltaRM",1.5
-0.498338950010115,0.498338950010115,"C-LF","DeltaRM",2
