"lb","ub","method","Delta","Mbar"
-0.0698265090011505,0.575237431295192,"C-LF","DeltaRM",0
-1.57275898845449,1.95181718017502,"C-LF","DeltaRM",0.5
-3.26854563562528,3.32174678534045,"C-LF","DeltaRM",1
-3.32174678534045,3.32174678534045,"C-LF","DeltaRM",1.5
-3.32174678534045,3.32174678534045,"C-LF","DeltaRM",2
