"lb","ub","method","Delta","Mbar"
-0.23959109295443,0.0682279271327184,"C-LF","DeltaRM",0
-1.02024551503112,0.760027374338887,"C-LF","DeltaRM",0.5
-1.58510928385083,1.58510928385083,"C-LF","DeltaRM",1
-1.58510928385083,1.58510928385083,"C-LF","DeltaRM",1.5
-1.58510928385083,1.58510928385083,"C-LF","DeltaRM",2
