step,actor,direction,amount_in,amount_out,fee_amount,exec_price,spot_price_before,price_impact_pct,reserve_x_after,reserve_y_after,invariant_before,invariant_after
2,Trader1,XtoY,10000000000,9066108938,30000000,1.1030090271787554,1.0,10.300902717875537,110000000000,90933891062,10000000000000000000000,10002728016820000000000
4,Trader1,XtoY,10000000000,9871580343,30000000,1.0130090271808467,1.0,1.3009027180846733,1010000000000,990128419657,1000000000000000000000000,1000029703853570000000000
6,Trader1,XtoY,10000000000,9960069810,30000000,1.0040090271214674,1.0,0.40090271214674456,10010000000000,9990039930190,100000000000000000000000000,100000299701201900000000000
