step,actor,direction,amount_in,amount_out,fee_amount,exec_price,spot_price_before,price_impact_pct,reserve_x_after,reserve_y_after,invariant_before,invariant_after
3,Trader1,XtoY,10000000000,9904170281,30000000,1.0096756938018159,1.0,0.9675693801815877,1510000000000,1490095829719,2250000000000000000000000,2250044702875690000000000
4,Trader1,YtoX,10000000000,10036026220,30000000,0.9964103102951041,0.9868184302774834,0.972000494044638,1499963973780,1500095829719,2250044702875690000000000,2250089701796117460767820
5,Trader1,XtoY,20000000000,19680132008,60000000,1.0162533458550975,1.0000879060706156,1.616401886909779,1519963973780,1480415697711,2250089701796117460767820,2250178526739102810017580
