scenario,policy,seed,delta_hedged_pnl,delta_fee_revenue,delta_lvr,delta_volume,delta_normal_hedged_pnl,delta_toxic_hedged_pnl
campbell_rl_normal,tabular_rl,5440,0.0531,0.0559,0.0028,302.2045,0.0531,0.0000
campbell_rl_normal,tabular_rl,5441,0.0548,0.0537,-0.0012,309.5114,0.0548,0.0000
campbell_rl_normal,tabular_rl,5442,0.0574,0.0510,-0.0064,305.0576,0.0574,0.0000
campbell_rl_normal,tabular_rl,5443,0.0666,0.0547,-0.0119,315.8956,0.0666,0.0000
campbell_rl_normal,tabular_rl,5444,0.0628,0.0571,-0.0057,315.9538,0.0628,0.0000
campbell_rl_normal,tabular_rl,5445,0.0577,0.0596,0.0019,317.6778,0.0577,0.0000
campbell_rl_normal,tabular_rl,5446,0.0609,0.0645,0.0036,290.1861,0.0609,0.0000
campbell_rl_normal,tabular_rl,5447,0.0615,0.0555,-0.0059,302.3290,0.0615,0.0000
campbell_rl_normal,tabular_rl,5448,0.0617,0.0627,0.0009,295.3428,0.0617,0.0000
campbell_rl_normal,tabular_rl,5449,0.0595,0.0690,0.0096,287.5248,0.0595,0.0000
campbell_rl_normal,tabular_rl,5450,0.0621,0.0526,-0.0095,319.2092,0.0621,0.0000
campbell_rl_normal,tabular_rl,5451,0.0577,0.0468,-0.0109,331.0489,0.0577,0.0000
campbell_rl_normal,tabular_rl,5452,0.0649,0.0633,-0.0016,298.1241,0.0649,0.0000
campbell_rl_normal,tabular_rl,5453,0.0611,0.0535,-0.0076,317.5517,0.0611,0.0000
campbell_rl_normal,tabular_rl,5454,0.0647,0.0577,-0.0069,301.8943,0.0647,0.0000
campbell_rl_normal,tabular_rl,5455,0.0582,0.0680,0.0098,299.6177,0.0582,0.0000
campbell_rl_normal,tabular_rl,5456,0.0591,0.0493,-0.0097,307.5976,0.0591,0.0000
campbell_rl_normal,tabular_rl,5457,0.0557,0.0586,0.0029,326.0198,0.0557,0.0000
campbell_rl_normal,tabular_rl,5458,0.0592,0.0484,-0.0108,304.4601,0.0592,0.0000
campbell_rl_normal,tabular_rl,5459,0.0400,0.0467,0.0067,321.7909,0.0400,0.0000
campbell_rl_normal,tabular_rl,5460,0.0529,0.0535,0.0006,317.2250,0.0529,0.0000
campbell_rl_normal,tabular_rl,5461,0.0610,0.0604,-0.0006,286.4202,0.0610,0.0000
campbell_rl_normal,tabular_rl,5462,0.0548,0.0538,-0.0010,295.2889,0.0548,0.0000
campbell_rl_normal,tabular_rl,5463,0.0643,0.0725,0.0082,279.1117,0.0643,0.0000
campbell_rl_normal,tabular_rl,5464,0.0624,0.0561,-0.0063,285.6871,0.0624,0.0000
campbell_rl_normal,tabular_rl,5465,0.0468,0.0548,0.0081,313.9892,0.0468,0.0000
campbell_rl_normal,tabular_rl,5466,0.0659,0.0627,-0.0032,297.9056,0.0659,0.0000
campbell_rl_normal,tabular_rl,5467,0.0609,0.0654,0.0045,291.0191,0.0609,0.0000
campbell_rl_normal,tabular_rl,5468,0.0663,0.0557,-0.0106,301.8779,0.0663,0.0000
campbell_rl_normal,tabular_rl,5469,0.0572,0.0595,0.0024,310.3750,0.0572,0.0000
campbell_rl_normal,tabular_rl,5470,0.0613,0.0560,-0.0053,320.2343,0.0613,0.0000
campbell_rl_normal,tabular_rl,5471,0.0612,0.0761,0.0149,277.7136,0.0612,0.0000
campbell_rl_normal,tabular_rl,5472,0.0617,0.0652,0.0036,273.7418,0.0617,0.0000
