elasticity,lambda,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,mean_retention,fund_demand_lost,final_external_price
E1_none,0,oracle_gap,5337,6.9065,0.6951,6.0007,10.6255,0.4050,0.8401,0.0338,0.8063,0.4351,1135.3595,38.2796,1173.6391,1440,169,0.788444,0.226506,1.000000,0.0000,1.017228
E1_none,0,oracle_gap,5338,6.8900,0.6522,6.0010,9.7484,0.4312,0.8379,0.0261,0.8119,0.4067,1125.9461,30.0749,1156.0209,1440,165,0.781907,0.182272,1.000000,0.0000,1.039068
E1_none,0,oracle_gap,5339,6.8806,0.6734,6.0037,9.5870,0.4161,0.8186,0.0281,0.7905,0.4026,1141.9544,33.4624,1175.4168,1440,170,0.793024,0.196838,1.000000,0.0000,0.991610
E1_none,0,oracle_gap,5340,6.8689,0.6651,6.0025,9.9643,0.4195,0.8111,0.0281,0.7830,0.3916,1130.0224,33.2289,1163.2513,1440,160,0.784738,0.207680,1.000000,0.0000,0.996492
E1_none,0,oracle_gap,5341,6.9079,0.6663,6.0006,9.4138,0.4093,0.8238,0.0294,0.7944,0.4145,1159.1176,35.4765,1194.5941,1440,165,0.804943,0.215009,1.000000,0.0000,0.981659
E1_none,0,oracle_gap,5342,6.8630,0.6639,6.0001,9.5577,0.4279,0.8177,0.0266,0.7911,0.3898,1128.8140,31.2759,1160.0899,1440,151,0.783899,0.207125,1.000000,0.0000,1.008360
E1_none,0,oracle_gap,5343,6.8741,0.6595,6.0004,9.9544,0.4401,0.8442,0.0275,0.8167,0.4041,1109.7329,30.6870,1140.4199,1440,147,0.770648,0.208755,1.000000,0.0000,1.076991
E1_none,0,oracle_gap,5344,6.8826,0.6699,6.0008,10.1766,0.4135,0.8163,0.0272,0.7891,0.4028,1135.7068,32.2589,1167.9657,1440,163,0.788685,0.197907,1.000000,0.0000,0.967990
E1_none,0,oracle_gap,5345,6.8665,0.6446,6.0036,9.4301,0.4271,0.8075,0.0230,0.7846,0.3804,1132.4206,27.5531,1159.9737,1440,153,0.786403,0.180086,1.000000,0.0000,0.969820
E1_none,0,oracle_gap,5346,6.8958,0.6805,6.0025,10.1713,0.4264,0.8553,0.0321,0.8232,0.4290,1115.6278,35.6699,1151.2977,1440,161,0.774741,0.221552,1.000000,0.0000,1.041572
E1_none,0,oracle_gap,5347,6.8572,0.6589,6.0023,9.7577,0.4024,0.7725,0.0263,0.7462,0.3700,1145.2948,32.9716,1178.2664,1440,146,0.795344,0.225833,1.000000,0.0000,0.874266
E1_none,0,oracle_gap,5348,6.8722,0.6668,6.0006,9.5323,0.4173,0.8128,0.0283,0.7845,0.3954,1126.3028,33.3173,1159.6201,1440,160,0.782155,0.208233,1.000000,0.0000,0.981629
E1_none,0,oracle_gap,5349,6.8718,0.6488,6.0001,10.2006,0.4387,0.8292,0.0253,0.8039,0.3905,1134.2542,29.1304,1163.3847,1440,134,0.787677,0.217391,1.000000,0.0000,1.028995
E1_none,0,oracle_gap,5350,6.8646,0.6571,6.0001,9.3752,0.4269,0.8097,0.0256,0.7841,0.3828,1147.5262,30.9518,1178.4780,1440,156,0.796893,0.198409,1.000000,0.0000,0.960534
E1_none,0,oracle_gap,5351,6.8523,0.6387,6.0001,9.7267,0.4282,0.7971,0.0228,0.7743,0.3689,1120.4907,27.3243,1147.8150,1440,142,0.778119,0.192425,1.000000,0.0000,0.945861
E1_none,0,oracle_gap,5352,6.8389,0.6621,6.0006,9.8423,0.4333,0.8079,0.0285,0.7794,0.3746,1110.5353,33.0049,1143.5402,1440,142,0.771205,0.232429,1.000000,0.0000,1.012013
E1_none,0,oracle_gap,5353,6.8551,0.6471,6.0005,9.9728,0.4386,0.8193,0.0252,0.7941,0.3806,1112.4619,28.8938,1141.3557,1440,148,0.772543,0.195229,1.000000,0.0000,1.022040
E1_none,0,oracle_gap,5354,6.8900,0.6486,6.0017,9.5673,0.4240,0.8249,0.0240,0.8008,0.4009,1133.8129,28.2973,1162.1102,1440,151,0.787370,0.187400,1.000000,0.0000,0.998929
E1_none,0,oracle_gap,5355,6.8600,0.6784,6.0001,10.0079,0.4279,0.8258,0.0293,0.7965,0.3979,1118.6156,33.3511,1151.9667,1440,154,0.776816,0.216565,1.000000,0.0000,1.021630
E1_none,0,oracle_gap,5356,6.8499,0.6529,6.0002,9.5942,0.4388,0.8154,0.0261,0.7893,0.3766,1127.0468,30.2619,1157.3087,1440,146,0.782671,0.207273,1.000000,0.0000,1.024701
E1_none,0,oracle_gap,5357,6.8865,0.6583,6.0041,9.7270,0.4195,0.8197,0.0278,0.7919,0.4002,1138.1001,32.8997,1170.9998,1440,154,0.790347,0.213635,1.000000,0.0000,0.969121
E1_none,0,oracle_gap,5358,6.8765,0.6630,6.0000,9.8856,0.4237,0.8212,0.0252,0.7960,0.3975,1135.7909,29.6549,1165.4459,1440,158,0.788744,0.187689,1.000000,0.0000,0.981652
E1_none,0,oracle_gap,5359,6.8731,0.6596,6.0001,10.6260,0.4129,0.7986,0.0266,0.7721,0.3857,1147.7903,32.5646,1180.3549,1440,159,0.797077,0.204809,1.000000,0.0000,0.933937
E1_none,0,oracle_gap,5360,6.8833,0.6708,6.0005,9.9673,0.4255,0.8347,0.0291,0.8056,0.4091,1128.7304,33.1060,1161.8364,1440,149,0.783841,0.222188,1.000000,0.0000,0.992397
