policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,lp_vs_hold_pct,fee_revenues,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price
fixed_6bps,5042,6.0000,0.4093,-0.0024,-0.0001,0.8116,0.4023,1347.1008,220,1440,0.996894,0.996495
fixed_6bps,5043,6.0000,0.3841,-0.0010,-0.0001,0.8114,0.4273,1359.3218,239,1440,0.997925,0.997525
fixed_6bps,5044,6.0000,0.3890,-0.3928,-0.0196,0.8104,0.4215,1368.2540,247,1440,0.960752,0.960368
fixed_6bps,5045,6.0000,0.4164,-3.5106,-0.1755,0.8509,0.4345,1327.0598,240,1440,1.122012,1.121563
fixed_6bps,5046,6.0000,0.3953,-0.0069,-0.0003,0.8134,0.4181,1363.8191,248,1440,0.994728,0.994330
fixed_6bps,5047,6.0000,0.4133,-0.0108,-0.0005,0.8055,0.3922,1340.0452,234,1440,0.993413,0.993015
fixed_6bps,5048,6.0000,0.4119,-0.8036,-0.0402,0.7885,0.3765,1334.9379,218,1440,0.944106,0.943728
fixed_6bps,5049,6.0000,0.3946,-0.0345,-0.0017,0.8063,0.4117,1351.6490,239,1440,0.988278,0.987883
fixed_6bps,5050,6.0000,0.4085,-0.3421,-0.0171,0.7953,0.3868,1332.7932,211,1440,0.963346,0.962960
fixed_6bps,5051,6.0000,0.4220,-0.6895,-0.0345,0.7771,0.3550,1327.2765,192,1440,0.948170,0.947791
fixed_6bps,5052,6.0000,0.3955,-0.1671,-0.0084,0.7984,0.4029,1354.1512,227,1440,0.974313,0.973923
fixed_6bps,5053,6.0000,0.4126,-0.0162,-0.0008,0.8120,0.3994,1346.3613,217,1440,1.008077,1.007674
fixed_6bps,5054,6.0000,0.3880,-0.9710,-0.0485,0.7977,0.4097,1358.4363,227,1440,0.938648,0.938273
fixed_6bps,5055,6.0000,0.4124,-1.1914,-0.0596,0.7791,0.3667,1335.2541,198,1440,0.932158,0.931785
fixed_6bps,5056,6.0000,0.4231,-0.0498,-0.0025,0.8038,0.3807,1354.0953,216,1440,0.985930,0.985535
fixed_6bps,5057,6.0000,0.3884,-1.2129,-0.0606,0.7887,0.4003,1365.1690,234,1440,0.931559,0.931186
fixed_6bps,5058,6.0000,0.4079,-1.6123,-0.0806,0.7673,0.3594,1350.4787,200,1440,0.921305,0.920936
fixed_6bps,5059,6.0000,0.3924,-0.1230,-0.0062,0.8168,0.4244,1362.3757,255,1440,1.022308,1.021899
fixed_6bps,5060,6.0000,0.4038,-0.8587,-0.0429,0.7736,0.3698,1355.3822,202,1440,0.942252,0.941875
fixed_6bps,5061,6.0000,0.4165,-0.8916,-0.0446,0.7807,0.3642,1340.8475,200,1440,0.941172,0.940795
fixed_6bps,5062,6.0000,0.4056,-0.1173,-0.0059,0.8204,0.4148,1345.3288,243,1440,1.021784,1.021375
fixed_6bps,5063,6.0000,0.4141,-0.0019,-0.0001,0.8058,0.3918,1341.9904,222,1440,1.002799,1.002398
fixed_6bps,5064,6.0000,0.4043,-0.0036,-0.0002,0.8185,0.4142,1363.6425,230,1440,1.003824,1.003423
fixed_6bps,5065,6.0000,0.4118,0.0000,0.0000,0.8087,0.3969,1344.3874,222,1440,1.000316,0.999916
fixed_6bps,5066,6.0000,0.4101,-0.4756,-0.0238,0.8250,0.4149,1350.6262,243,1440,1.044096,1.043678
fixed_6bps,5067,6.0000,0.4118,-0.4993,-0.0250,0.8284,0.4165,1343.1501,235,1440,1.045191,1.044773
fixed_6bps,5068,6.0000,0.4243,-0.1721,-0.0086,0.7874,0.3631,1334.6681,201,1440,0.973935,0.973545
fixed_6bps,5069,6.0000,0.3870,-0.1347,-0.0067,0.8062,0.4192,1346.9392,216,1440,0.976918,0.976527
fixed_6bps,5070,6.0000,0.4122,-0.0669,-0.0033,0.8136,0.4014,1357.3831,211,1440,1.016435,1.016028
fixed_6bps,5071,6.0000,0.3964,-3.3273,-0.1664,0.8595,0.4631,1345.5783,248,1440,1.118694,1.118246
fixed_6bps,5072,6.0000,0.4055,-0.0266,-0.0013,0.8210,0.4155,1345.3681,231,1440,1.010340,1.009936
fixed_6bps,5073,6.0000,0.3983,-0.0467,-0.0023,0.8185,0.4201,1351.0260,232,1440,1.013725,1.013319
fixed_6bps,5074,6.0000,0.3837,-0.3328,-0.0166,0.8010,0.4173,1353.1934,252,1440,0.963846,0.963460
fixed_6bps,5075,6.0000,0.4346,-1.2787,-0.0639,0.8343,0.3996,1323.3091,223,1440,1.072797,1.072367
fixed_6bps,5076,6.0000,0.3917,-0.0015,-0.0001,0.8159,0.4241,1363.5823,243,1440,1.002513,1.002111
fixed_6bps,5077,6.0000,0.4142,-0.2361,-0.0118,0.7924,0.3782,1352.3899,215,1440,0.969505,0.969117
fixed_6bps,5078,6.0000,0.4004,-0.5746,-0.0287,0.8289,0.4286,1372.9169,236,1440,1.048520,1.048100
fixed_6bps,5079,6.0000,0.4110,-0.0591,-0.0030,0.7961,0.3851,1334.6793,223,1440,0.984680,0.984286
fixed_6bps,5080,6.0000,0.4153,-0.1246,-0.0062,0.7893,0.3740,1329.9100,208,1440,0.977794,0.977403
fixed_6bps,5081,6.0000,0.3889,-0.1832,-0.0092,0.8003,0.4113,1364.3508,233,1440,0.973109,0.972719
fixed_6bps,5082,6.0000,0.3993,-0.3083,-0.0154,0.7984,0.3991,1359.2318,243,1440,0.965192,0.964805
fixed_6bps,5083,6.0000,0.3948,-0.0155,-0.0008,0.8250,0.4301,1359.2422,229,1440,1.007892,1.007489
fixed_6bps,5084,6.0000,0.4155,-0.3450,-0.0173,0.7919,0.3763,1324.5541,201,1440,0.963193,0.962808
fixed_6bps,5085,6.0000,0.4052,-0.0051,-0.0003,0.8086,0.4034,1355.8341,221,1440,0.995481,0.995083
fixed_6bps,5086,6.0000,0.4204,-0.0005,-0.0000,0.7958,0.3754,1364.4378,204,1440,0.998493,0.998093
fixed_6bps,5087,6.0000,0.4203,-0.2947,-0.0147,0.7874,0.3672,1353.1413,203,1440,0.965961,0.965574
fixed_6bps,5088,6.0000,0.4235,-1.5220,-0.0761,0.8395,0.4160,1325.5906,235,1440,1.079549,1.079117
fixed_6bps,5089,6.0000,0.4148,-0.0005,-0.0000,0.8047,0.3899,1353.6022,221,1440,0.998549,0.998150
fixed_6bps,5090,6.0000,0.4186,-2.1210,-0.1060,0.8400,0.4214,1349.2833,231,1440,1.094230,1.093792
fixed_6bps,5091,6.0000,0.4121,-0.0253,-0.0013,0.8161,0.4039,1346.7412,228,1440,1.010097,1.009693
fixed_6bps,5092,6.0000,0.4045,-0.1596,-0.0080,0.8045,0.4000,1340.9085,224,1440,0.974891,0.974501
fixed_6bps,5093,6.0000,0.3990,-0.0070,-0.0003,0.8127,0.4137,1344.5964,229,1440,0.994710,0.994312
fixed_6bps,5094,6.0000,0.4086,-0.3208,-0.0160,0.8177,0.4091,1353.9820,224,1440,1.036146,1.035731
fixed_6bps,5095,6.0000,0.4180,-1.0210,-0.0511,0.8263,0.4083,1325.6055,217,1440,1.064929,1.064503
