gap_bucket,vol_bucket,flow_bucket,action_fee_bps,value_estimate,visit_count
2,1,0,100,-0.970017,779
2,1,2,1,0.240603,220767
2,1,2,3,-0.205412,260876
2,1,2,6,0.090914,275636
2,1,2,10,0.269864,224453
2,1,2,20,0.224186,153753
2,1,2,30,0.267346,151957
2,1,2,50,-0.132640,158910
2,1,2,100,-0.005620,151080
2,1,3,1,-0.584825,13317
2,1,3,3,-0.190196,13827
2,1,3,6,-0.074818,13935
2,1,3,10,-0.855671,13908
2,1,3,20,-0.316700,16166
2,1,3,30,-0.300325,14032
2,1,3,50,-0.666053,14074
2,1,3,100,-0.328963,15763
2,2,0,1,0.000000,0
2,2,0,3,0.000000,0
2,2,0,6,0.710067,4
2,2,0,10,0.000000,0
2,2,0,20,0.000000,0
2,2,0,30,0.000000,0
2,2,0,50,0.000000,0
2,2,0,100,0.000000,0
2,2,2,1,0.776318,76
2,2,2,3,1.078875,44
2,2,2,6,1.063413,73
2,2,2,10,1.322625,97
2,2,2,20,0.868883,20
2,2,2,30,1.602294,47
2,2,2,50,0.987729,71
2,2,2,100,2.336732,333
2,2,3,1,1.416406,96
2,2,3,3,0.079305,9
2,2,3,6,0.444087,48
2,2,3,10,0.022713,24
2,2,3,20,-0.073024,16
2,2,3,30,0.156127,51
2,2,3,50,0.098548,12
2,2,3,100,-0.106298,18
3,0,0,1,0.841833,418
3,0,0,3,0.388497,250
3,0,0,6,0.568918,314
3,0,0,10,0.790597,503
3,0,0,20,0.535502,479
3,0,0,30,0.847044,183
3,0,0,50,0.458466,307
3,0,0,100,0.417064,253
3,0,2,1,0.104853,6891
3,0,2,3,-0.534970,6380
3,0,2,6,0.391913,7579
3,0,2,10,0.253729,6265
3,0,2,20,0.243748,6871
3,0,2,30,0.244151,7068
3,0,2,50,0.215821,7609
3,0,2,100,0.029877,7953
3,0,3,1,-0.463858,306
3,0,3,3,0.165466,345
3,0,3,6,0.632416,294
3,0,3,10,-0.279282,196
3,0,3,20,-0.585288,240
3,0,3,30,0.191173,229
3,0,3,50,-0.002577,240
3,0,3,100,-0.471634,260
3,1,0,1,-0.836386,736
3,1,0,3,-0.908321,683
3,1,0,6,-0.122208,736
3,1,0,10,-0.627919,993
3,1,0,20,-0.695961,534
3,1,0,30,-0.980348,983
3,1,0,50,-0.677277,910
3,1,0,100,-0.808707,1352
3,1,2,1,0.095479,203502
3,1,2,3,0.146585,263329
3,1,2,6,0.163092,353213
3,1,2,10,-0.067643,371445
3,1,2,20,0.198773,284622
3,1,2,30,-0.077964,201748
3,1,2,50,-0.205412,184767
3,1,2,100,0.090914,196382
3,1,3,1,-0.549410,22275
3,1,3,3,-0.057881,22613
3,1,3,6,-0.315563,18706
3,1,3,10,-0.168763,15769
3,1,3,20,-0.066711,15350
3,1,3,30,-0.225235,19107
3,1,3,50,-0.656955,18090
3,1,3,100,-0.200973,18831
3,2,0,1,0.641674,5
3,2,0,3,0.000000,0
3,2,0,6,0.000000,0
3,2,0,10,0.000000,0
3,2,0,20,0.000000,0
3,2,0,30,0.000000,0
3,2,0,50,0.000000,0
3,2,0,100,-0.026685,3
3,2,2,1,2.368165,336
3,2,2,3,0.738108,111
3,2,2,6,1.166972,37
3,2,2,10,0.858951,104
3,2,2,20,1.040143,29
3,2,2,30,1.353788,164
3,2,2,50,0.878317,138
3,2,2,100,1.415530,91
3,2,3,1,0.187336,43
3,2,3,3,-0.196800,17
3,2,3,6,-0.067658,49
3,2,3,10,0.315355,94
3,2,3,20,0.425417,54
3,2,3,30,0.080908,12
3,2,3,50,0.250947,41
3,2,3,100,0.206618,23
4,0,0,1,0.283298,96
4,0,0,3,0.462104,94
4,0,0,6,0.438115,76
4,0,0,10,0.274907,90
4,0,0,20,0.323182,190
4,0,0,30,0.774099,217
4,0,0,50,0.775578,142
