scenario,policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,fee_revenue,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price,normal_hedged_pnl,toxic_hedged_pnl,normal_steps,toxic_steps
campbell_rl_normal,tabular_rl,5288,6.2875,0.4793,-0.2599,0.8682,0.3889,1488.6981,150,1437,0.968011,0.967333,0.4793,0.0000,1440,0
campbell_rl_normal,tabular_rl,5289,6.4868,0.4792,-0.1420,0.8973,0.4181,1471.1184,146,1440,1.023979,1.023570,0.4792,0.0000,1440,0
campbell_rl_normal,tabular_rl,5290,6.5215,0.4816,-0.0689,0.8933,0.4117,1456.9501,149,1439,0.983465,0.983071,0.4816,0.0000,1440,0
campbell_rl_normal,tabular_rl,5291,6.2778,0.4779,-0.1780,0.8690,0.3911,1488.0887,166,1440,0.973490,0.973100,0.4779,0.0000,1440,0
campbell_rl_normal,tabular_rl,5292,6.3333,0.4870,-0.2168,0.8655,0.3785,1478.9917,147,1440,0.970767,0.970378,0.4870,0.0000,1440,0
campbell_rl_normal,tabular_rl,5293,6.4708,0.4841,-0.1201,0.8855,0.4014,1467.4003,149,1435,1.022039,1.021630,0.4841,0.0000,1440,0
campbell_rl_normal,tabular_rl,5294,6.3340,0.4938,-0.3675,0.8840,0.3902,1472.2838,147,1438,1.038713,1.038297,0.4938,0.0000,1440,0
campbell_rl_normal,tabular_rl,5295,6.2736,0.4826,-0.5021,0.8515,0.3689,1487.2627,130,1439,0.955684,0.955302,0.4826,0.0000,1440,0
campbell_rl_normal,tabular_rl,5296,6.6097,0.4821,-0.1684,0.8927,0.4106,1456.6550,148,1439,1.026128,1.025717,0.4821,0.0000,1440,0
campbell_rl_normal,tabular_rl,5297,6.2028,0.4860,-0.5258,0.8446,0.3585,1492.5452,147,1439,0.954662,0.954280,0.4860,0.0000,1440,0
campbell_rl_normal,tabular_rl,5298,6.2514,0.4655,-1.9206,0.8269,0.3615,1513.2822,163,1438,0.914268,0.913628,0.4655,0.0000,1440,0
campbell_rl_normal,tabular_rl,5299,6.5569,0.4695,-0.3607,0.8815,0.4120,1471.8003,151,1440,0.962376,0.961991,0.4695,0.0000,1440,0
