scenario,policy,seed,hedged_pnl,fee_revenue,lvr,volume,arb_volume,fund_volume,avg_fee_bps
campbell_rl_normal,fixed_6bps,5361,0.428219,0.824309,0.396090,1342.182210,52.293251,1289.888959,6.0000
campbell_rl_normal,fixed_6bps,5362,0.408645,0.819186,0.410540,1350.750300,55.444479,1295.305821,6.0000
campbell_rl_normal,fixed_6bps,5363,0.414414,0.808583,0.394170,1346.221142,54.921190,1291.299952,6.0000
campbell_rl_normal,fixed_6bps,5364,0.404018,0.778560,0.374543,1342.448613,56.462220,1285.986394,6.0000
campbell_rl_normal,fixed_6bps,5365,0.426202,0.781454,0.355252,1335.507981,45.894842,1289.613139,6.0000
campbell_rl_normal,fixed_6bps,5366,0.427071,0.820175,0.393104,1319.119106,54.296764,1264.822341,6.0000
campbell_rl_normal,fixed_6bps,5367,0.408522,0.827111,0.418589,1344.011626,62.112305,1281.899320,6.0000
campbell_rl_normal,fixed_6bps,5368,0.405998,0.826479,0.420481,1355.700962,58.452148,1297.248814,6.0000
campbell_rl_normal,fixed_6bps,5369,0.414923,0.820920,0.405997,1349.250183,57.431765,1291.818418,6.0000
campbell_rl_normal,fixed_6bps,5370,0.392215,0.815159,0.422944,1364.671888,63.187827,1301.484061,6.0000
campbell_rl_normal,fixed_6bps,5371,0.411313,0.796521,0.385207,1326.089459,54.856975,1271.232483,6.0000
campbell_rl_normal,fixed_6bps,5372,0.409832,0.800842,0.391010,1342.810018,56.193296,1286.616722,6.0000
campbell_rl_normal,fixed_6bps,5373,0.404874,0.799763,0.394889,1345.836258,57.637984,1288.198274,6.0000
campbell_rl_normal,fixed_6bps,5374,0.399731,0.792883,0.393152,1364.691494,54.526612,1310.164882,6.0000
campbell_rl_normal,fixed_6bps,5375,0.417621,0.796826,0.379205,1343.610797,53.210045,1290.400752,6.0000
campbell_rl_normal,fixed_6bps,5376,0.422739,0.807451,0.384713,1324.582869,53.172428,1271.410441,6.0000
campbell_rl_normal,fixed_6bps,5377,0.430411,0.788983,0.358572,1329.884269,46.856352,1283.027916,6.0000
campbell_rl_normal,fixed_6bps,5378,0.398302,0.815551,0.417249,1360.669674,59.881844,1300.787830,6.0000
campbell_rl_normal,fixed_6bps,5379,0.408683,0.804702,0.396019,1351.630197,56.179899,1295.450298,6.0000
campbell_rl_normal,fixed_6bps,5380,0.401680,0.820219,0.418539,1356.511360,59.574145,1296.937215,6.0000
campbell_rl_normal,fixed_6bps,5381,0.412129,0.820895,0.408766,1340.780716,59.281332,1281.499384,6.0000
campbell_rl_normal,fixed_6bps,5382,0.410321,0.806708,0.396387,1347.798655,55.135364,1292.663292,6.0000
campbell_rl_normal,fixed_6bps,5383,0.400392,0.785950,0.385558,1336.409148,55.276262,1281.132887,6.0000
campbell_rl_normal,fixed_6bps,5384,0.409829,0.821064,0.411235,1347.683211,58.867260,1288.815951,6.0000
campbell_rl_normal,fixed_6bps,5385,0.402067,0.796690,0.394622,1358.253376,55.876905,1302.376472,6.0000
campbell_rl_normal,fixed_6bps,5386,0.420323,0.816935,0.396612,1333.544556,55.836140,1277.708416,6.0000
campbell_rl_normal,fixed_6bps,5387,0.399278,0.817581,0.418303,1345.735333,62.399662,1283.335671,6.0000
campbell_rl_normal,fixed_6bps,5388,0.405503,0.811099,0.405596,1344.183852,60.025005,1284.158848,6.0000
campbell_rl_normal,fixed_6bps,5389,0.398462,0.835827,0.437365,1355.026090,64.239320,1290.786770,6.0000
campbell_rl_normal,fixed_6bps,5390,0.411045,0.785690,0.374645,1344.799772,52.177262,1292.622510,6.0000
campbell_rl_normal,fixed_6bps,5391,0.403518,0.823582,0.420064,1346.950771,60.569145,1286.381627,6.0000
campbell_rl_normal,fixed_6bps,5392,0.410727,0.821906,0.411178,1332.675618,58.440820,1274.234797,6.0000
campbell_rl_normal,fixed_6bps,5393,0.400785,0.810901,0.410116,1354.529771,59.953989,1294.575782,6.0000
campbell_rl_normal,fixed_6bps,5394,0.403541,0.810064,0.406523,1353.186700,57.853459,1295.333241,6.0000
campbell_rl_normal,fixed_6bps,5395,0.402206,0.793280,0.391074,1345.197790,56.316890,1288.880900,6.0000
campbell_rl_normal,fixed_6bps,5396,0.406597,0.785157,0.378560,1347.120112,54.769342,1292.350771,6.0000
campbell_rl_normal,fixed_6bps,5397,0.399707,0.839382,0.439675,1348.137350,63.562359,1284.574991,6.0000
campbell_rl_normal,fixed_6bps,5398,0.402255,0.807138,0.404883,1336.456776,60.286171,1276.170606,6.0000
campbell_rl_normal,fixed_6bps,5399,0.395585,0.785562,0.389978,1351.818516,60.671726,1291.146790,6.0000
campbell_rl_normal,fixed_6bps,5400,0.419801,0.815513,0.395712,1336.254086,55.044613,1281.209474,6.0000
campbell_rl_normal,fixed_6bps,5401,0.396266,0.813770,0.417504,1359.800553,61.480470,1298.320084,6.0000
campbell_rl_normal,fixed_6bps,5402,0.405770,0.827659,0.421889,1351.825801,59.350041,1292.475760,6.0000
campbell_rl_normal,fixed_6bps,5403,0.391420,0.772468,0.381048,1357.904368,57.007939,1300.896429,6.0000
