scenario,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,final_external_price
campbell_rl_normal,fixed_6bps,5000,6.0,0.0,6.0,6.0,0.3952,0.8088,0.0382,0.7706,0.4136,1272.1732,63.0304,1335.2036,1440,234,0.883454,0.269361,0.983827
campbell_rl_normal,fixed_6bps,5001,6.0,0.0,6.0,6.0,0.4287,0.8158,0.0313,0.7845,0.3871,1265.9777,50.5835,1316.5611,1440,201,0.879151,0.251659,1.05125
campbell_rl_normal,fixed_6bps,5002,6.0,0.0,6.0,6.0,0.3936,0.7863,0.0356,0.7506,0.3927,1290.5584,61.2972,1351.8556,1440,230,0.896221,0.26651,0.961971
campbell_rl_normal,fixed_6bps,5003,6.0,0.0,6.0,6.0,0.3889,0.8039,0.0375,0.7663,0.415,1296.7203,63.5317,1360.252,1440,231,0.9005,0.275029,0.986914
campbell_rl_normal,fixed_6bps,5004,6.0,0.0,6.0,6.0,0.4042,0.805,0.0335,0.7715,0.4008,1302.4542,56.5971,1359.0513,1440,234,0.904482,0.241868,0.997765
campbell_rl_normal,fixed_6bps,5005,6.0,0.0,6.0,6.0,0.3985,0.8035,0.0356,0.7678,0.405,1300.5064,60.5816,1361.0879,1440,231,0.903129,0.262258,0.964613
campbell_rl_normal,fixed_6bps,5006,6.0,0.0,6.0,6.0,0.4166,0.7986,0.0332,0.7654,0.382,1281.5559,55.6495,1337.2054,1440,212,0.889969,0.262498,1.017455
campbell_rl_normal,fixed_6bps,5007,6.0,0.0,6.0,6.0,0.4033,0.8005,0.0331,0.7674,0.3971,1295.8544,55.7529,1351.6072,1440,214,0.899899,0.260527,0.943726
campbell_rl_normal,fixed_6bps,5008,6.0,0.0,6.0,6.0,0.422,0.814,0.0317,0.7823,0.392,1295.0286,52.5009,1347.5295,1440,223,0.899325,0.23543,1.016892
campbell_rl_normal,fixed_6bps,5009,6.0,0.0,6.0,6.0,0.4209,0.804,0.0318,0.7722,0.3831,1269.1645,52.2987,1321.4633,1440,203,0.881364,0.257629,0.991477
campbell_rl_normal,fixed_6bps,5010,6.0,0.0,6.0,6.0,0.4154,0.799,0.0311,0.7679,0.3836,1299.79,52.6303,1352.4203,1440,207,0.902632,0.254253,0.992961
campbell_rl_normal,fixed_6bps,5011,6.0,0.0,6.0,6.0,0.408,0.81,0.0344,0.7756,0.402,1282.325,56.9716,1339.2966,1440,216,0.890504,0.263757,1.019242
campbell_rl_normal,fixed_6bps,5012,6.0,0.0,6.0,6.0,0.4052,0.8171,0.0338,0.7833,0.4119,1297.6083,56.1015,1353.7098,1440,224,0.901117,0.250453,1.000221
campbell_rl_normal,fixed_6bps,5013,6.0,0.0,6.0,6.0,0.4287,0.7978,0.0296,0.7681,0.3691,1280.7296,49.4544,1330.1841,1440,210,0.889396,0.235497,0.989538
campbell_rl_normal,fixed_6bps,5014,6.0,0.0,6.0,6.0,0.4163,0.7941,0.0309,0.7631,0.3778,1295.8001,52.6388,1348.4388,1440,200,0.899861,0.263194,0.988141
campbell_rl_normal,fixed_6bps,5015,6.0,0.0,6.0,6.0,0.4327,0.7871,0.0244,0.7626,0.3543,1306.5157,41.9509,1348.4666,1440,192,0.907303,0.218494,0.960374
campbell_rl_normal,fixed_6bps,5016,6.0,0.0,6.0,6.0,0.3978,0.8036,0.036,0.7676,0.4058,1290.6855,60.5911,1351.2765,1440,228,0.896309,0.26575,0.978609
campbell_rl_normal,fixed_6bps,5017,6.0,0.0,6.0,6.0,0.4056,0.8148,0.0334,0.7813,0.4092,1298.4915,55.6473,1354.1388,1440,228,0.90173,0.244067,1.004941
campbell_rl_normal,fixed_6bps,5018,6.0,0.0,6.0,6.0,0.4125,0.8173,0.0321,0.7852,0.4048,1290.6416,52.867,1343.5086,1440,225,0.896279,0.234964,0.98351
campbell_rl_normal,fixed_6bps,5019,6.0,0.0,6.0,6.0,0.4017,0.7745,0.0308,0.7437,0.3728,1308.6364,54.2111,1362.8475,1440,216,0.908775,0.250977,0.912764
campbell_rl_normal,fixed_6bps,5020,6.0,0.0,6.0,6.0,0.3993,0.8107,0.037,0.7736,0.4113,1281.4537,61.4237,1342.8775,1440,251,0.889898,0.244716,1.005615
campbell_rl_normal,fixed_6bps,5021,6.0,0.0,6.0,6.0,0.4138,0.8252,0.0347,0.7905,0.4114,1269.9164,55.8363,1325.7527,1440,223,0.881886,0.250387,1.022265
campbell_rl_normal,fixed_6bps,5022,6.0,0.0,6.0,6.0,0.4163,0.805,0.0322,0.7728,0.3886,1292.651,53.9558,1346.6069,1440,220,0.897674,0.245254,1.000798
campbell_rl_normal,fixed_6bps,5023,6.0,0.0,6.0,6.0,0.3863,0.8069,0.0384,0.7685,0.4207,1303.7225,65.2907,1369.0132,1440,235,0.905363,0.277833,0.966167
campbell_rl_normal,fixed_6bps,5024,6.0,0.0,6.0,6.0,0.4039,0.8038,0.0342,0.7696,0.3999,1277.9062,56.8977,1334.8039,1440,232,0.887435,0.245249,0.983201
campbell_rl_normal,fixed_6bps,5025,6.0,0.0,6.0,6.0,0.406,0.8184,0.0353,0.7832,0.4124,1308.4265,59.0032,1367.4297,1440,228,0.908629,0.258786,1.03809
campbell_rl_normal,fixed_6bps,5026,6.0,0.0,6.0,6.0,0.413,0.8204,0.0347,0.7857,0.4073,1288.6371,57.0057,1345.6428,1440,221,0.894887,0.257944,1.052082
campbell_rl_normal,fixed_6bps,5027,6.0,0.0,6.0,6.0,0.4073,0.7973,0.0347,0.7626,0.39,1272.2745,57.8681,1330.1426,1440,221,0.883524,0.261847,0.986495
campbell_rl_normal,fixed_6bps,5028,6.0,0.0,6.0,6.0,0.4115,0.8172,0.0357,0.7815,0.4057,1272.7636,58.1834,1330.947,1440,222,0.883864,0.262087,1.010863
campbell_rl_normal,fixed_6bps,5029,6.0,0.0,6.0,6.0,0.4119,0.8111,0.0342,0.7768,0.3992,1286.3639,56.709,1343.0729,1440,219,0.893308,0.258945,1.005035
campbell_rl_normal,fixed_6bps,5030,6.0,0.0,6.0,6.0,0.4208,0.7981,0.0297,0.7683,0.3772,1283.9123,49.7919,1333.7042,1440,205,0.891606,0.242887,1.014298
campbell_rl_normal,fixed_6bps,5031,6.0,0.0,6.0,6.0,0.4222,0.7831,0.029,0.7541,0.3609,1293.4676,49.8216,1343.2892,1440,200,0.898241,0.249108,0.961516
campbell_rl_normal,fixed_6bps,5032,6.0,0.0,6.0,6.0,0.4288,0.804,0.0316,0.7724,0.3751,1262.8022,51.6876,1314.4898,1440,215,0.876946,0.240407,1.008663
campbell_rl_normal,fixed_6bps,5033,6.0,0.0,6.0,6.0,0.3989,0.8249,0.0387,0.7862,0.426,1286.2729,63.428,1349.7008,1440,235,0.893245,0.269906,1.04302
campbell_rl_normal,fixed_6bps,5034,6.0,0.0,6.0,6.0,0.4185,0.7937,0.0308,0.763,0.3752,1274.7331,51.3252,1326.0583,1440,208,0.885231,0.246756,0.962295
campbell_rl_normal,fixed_6bps,5035,6.0,0.0,6.0,6.0,0.4076,0.7841,0.031,0.7531,0.3766,1284.8577,52.9087,1337.7664,1440,215,0.892262,0.246087,0.965997
campbell_rl_normal,fixed_6bps,5036,6.0,0.0,6.0,6.0,0.4239,0.7933,0.0289,0.7644,0.3694,1287.0805,48.6461,1335.7266,1440,213,0.893806,0.228385,0.98321
campbell_rl_normal,fixed_6bps,5037,6.0,0.0,6.0,6.0,0.4165,0.8426,0.0356,0.8069,0.4261,1298.7549,57.4614,1356.2163,1440,240,0.901913,0.239423,1.071306
campbell_rl_normal,fixed_6bps,5038,6.0,0.0,6.0,6.0,0.4107,0.7915,0.0289,0.7627,0.3808,1301.7689,49.2866,1351.0555,1440,209,0.904006,0.235821,0.935881
campbell_rl_normal,fixed_6bps,5039,6.0,0.0,6.0,6.0,0.4051,0.8029,0.034,0.7689,0.3978,1277.7085,56.6432,1334.3517,1440,219,0.887298,0.258645,0.950956
campbell_rl_normal,fixed_6bps,5040,6.0,0.0,6.0,6.0,0.4095,0.7964,0.0322,0.7642,0.3868,1298.6211,54.5712,1353.1923,1440,220,0.90182,0.248051,0.973697
campbell_rl_normal,fixed_6bps,5041,6.0,0.0,6.0,6.0,0.4072,0.8204,0.037,0.7834,0.4132,1287.3873,60.8954,1348.2826,1440,223,0.894019,0.273073,1.031357
campbell_rl_normal,fixed_6bps,5042,6.0,0.0,6.0,6.0,0.4093,0.8116,0.0346,0.777,0.4023,1289.6256,57.4752,1347.1008,1440,220,0.895573,0.261251,0.996894
