policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,39,1989.872747,1989.076320,-1.1936,-0.000060,0.00092064,6.0000,fund,997265.3408,501.3711,0.394723,7.8756
fixed_6bps,40,1992.244786,1991.447409,-15.9040,-0.000796,0.00094247,6.0000,fund,997859.5616,501.0725,0.835601,8.4677
fixed_6bps,41,1993.431748,1992.633896,-9.9544,-0.000498,0.00095272,6.0000,fund,998156.7753,500.9233,0.657540,8.6753
fixed_6bps,42,1993.153027,1992.355287,-2.6046,-0.000130,0.00095309,6.0000,fund,998086.9920,500.9583,0.437308,8.6522
fixed_6bps,43,1989.432217,1988.635966,14.6930,0.000734,0.00092152,6.0000,fund,997154.9444,501.4266,0.559229,9.1497
fixed_6bps,44,1986.337815,1985.542803,11.5698,0.000578,0.00097464,6.0000,fund,996379.1454,501.8170,0.465479,9.4429
fixed_6bps,45,1985.474554,1984.679887,0.3437,0.000017,0.00097769,6.0000,fund,996162.6090,501.9261,0.348332,9.4033
fixed_6bps,46,1985.420927,1984.626281,-3.7324,-0.000187,0.00096673,6.0000,fund,996149.1559,501.9329,0.470176,9.3981
fixed_6bps,47,1987.115108,1986.319784,-12.5248,-0.000627,0.00097845,6.0000,fund,996574.0776,501.7188,0.733405,9.7496
fixed_6bps,48,1990.517735,1989.721050,-21.0897,-0.001056,0.00104786,6.0000,arb+fund,997426.9523,501.2898,0.990586,10.8213
fixed_6bps,49,1990.765179,1989.968395,-5.2449,-0.000262,0.00104657,6.0000,fund,997488.9460,501.2587,0.516087,10.8499
fixed_6bps,50,1992.091438,1991.294123,-10.6574,-0.000533,0.00105355,6.0000,fund,997821.1570,501.0918,0.678377,11.0936
fixed_6bps,51,1993.663004,1992.865060,-11.8821,-0.000594,0.00105961,6.0000,fund,998214.6714,500.8943,0.715348,11.4065
fixed_6bps,52,1994.491204,1993.692928,-8.1532,-0.000408,0.00103708,6.0000,fund,998421.9870,500.7903,0.603728,11.5325
fixed_6bps,53,1992.748898,1991.951320,4.7373,0.000237,0.00094279,6.0000,fund,997985.8015,501.0091,0.261711,11.5485
